16abc 0.023196 203.689542 +13.853974
filter G48
57487.119 17.750 0.110
57487.270 17.230 0.110
57487.272 17.260 0.110
57487.854 17.100 0.110
57487.856 17.060 0.110
57487.910 17.040 0.110
57487.913 17.090 0.110
57488.850 16.840 0.080
57488.853 16.830 0.080
57489.131 16.700 0.080
57489.133 16.700 0.080
57489.845 15.980 0.150
57489.847 16.570 0.120
57489.922 16.590 0.090
57489.923 16.680 0.090
57490.121 16.630 0.080
57490.122 16.560 0.130
57490.203 16.500 0.080
57490.205 16.490 0.080
57490.848 16.410 0.080
57490.906 16.480 0.070
57490.908 16.490 0.070
57491.300 16.440 0.070
57491.302 16.410 0.070
57491.495 16.370 0.100
57491.496 16.570 0.100
57492.409 16.220 0.100
57492.411 16.210 0.100
57492.951 16.020 0.160
57493.403 16.140 0.070
57493.405 16.120 0.070
57493.834 16.360 0.100
57493.836 16.200 0.080
57494.425 16.060 0.080
57494.427 16.130 0.080
57494.540 16.150 0.080
57494.542 16.080 0.090
57498.128 15.980 0.040
57498.130 15.920 0.040
57504.072 16.010 0.040
57504.073 16.040 0.040
57505.294 16.110 0.040
57505.296 16.040 0.040
57509.252 16.330 0.040
57509.254 16.290 0.040
57513.329 16.490 0.040
57513.331 16.660 0.040
57515.374 16.660 0.060
57515.376 16.690 0.120
57517.336 16.690 0.050
57517.338 16.710 0.050
57518.336 16.760 0.050
57518.338 16.750 0.050
57520.346 16.870 0.040
57520.348 16.860 0.040
57528.332 17.250 0.040
57528.334 17.240 0.040
57532.329 17.460 0.040
57532.331 17.500 0.050
57534.329 17.600 0.060
57534.331 17.540 0.060
57546.145 18.040 0.040
57546.147 18.070 0.040
57546.297 18.120 0.040
57546.298 18.100 0.040
57555.107 18.320 0.070
57555.108 18.300 0.060
57557.116 18.400 0.070
57557.118 18.490 0.070
57563.245 18.490 0.070
57563.247 18.510 0.080
57568.966 18.720 0.060
57568.968 18.620 0.060
57569.009 18.660 0.050
57569.011 18.700 0.050
57576.069 18.750 0.080
57576.070 18.830 0.130
57583.173 18.850 0.090
57583.175 18.860 0.090
57590.023 19.060 0.090
57590.025 19.200 0.120
57597.014 19.640 0.120
57597.017 19.420 0.130
57617.976 19.450 0.230
57617.978 19.220 0.190
57618.976 19.660 0.240
57618.979 19.440 0.200
filter glcogt
57482.904 19.020 0.040
57482.907 18.990 0.040
57483.439 18.670 0.020
57483.441 18.730 0.020
57483.556 18.720 0.030
57483.560 18.670 0.020
57483.672 18.570 0.030
57484.235 18.430 0.030
57484.239 18.340 0.020
57485.263 17.980 0.010
57485.266 18.010 0.020
57485.389 17.970 0.150
57486.116 17.600 0.010
57486.119 17.610 0.010
57486.174 17.590 0.010
57486.177 17.540 0.010
57486.864 17.260 0.020
57486.867 17.250 0.020
57487.122 17.200 0.010
57487.126 17.230 0.010
57487.274 17.220 0.010
57487.277 17.230 0.010
57487.868 16.930 0.020
57487.916 16.890 0.010
57487.919 16.930 0.010
57488.855 16.720 0.020
57488.859 16.850 0.010
57489.135 16.640 0.010
57489.138 16.670 0.010
57489.849 16.610 0.040
57489.851 16.510 0.030
57489.925 16.510 0.020
57489.927 16.620 0.030
57490.124 16.610 0.010
57490.127 16.690 0.020
57490.207 16.450 0.010
57490.210 16.510 0.010
57490.851 16.430 0.020
57490.854 16.410 0.010
57490.909 16.400 0.010
57490.912 16.420 0.010
57491.304 16.310 0.010
57491.306 16.320 0.010
57491.498 16.420 0.010
57491.501 16.240 0.020
57492.413 16.200 0.010
57492.416 16.220 0.010
57492.953 16.120 0.010
57493.407 16.100 0.010
57493.410 16.080 0.010
57493.838 16.290 0.030
57493.840 16.290 0.030
57494.429 16.000 0.010
57494.432 16.030 0.010
57494.543 16.060 0.030
57494.546 16.040 0.020
57498.132 16.010 0.010
57498.134 16.020 0.010
57504.075 16.010 0.010
57504.078 16.000 0.010
57505.298 16.060 0.010
57505.301 16.050 0.010
57509.256 16.350 0.010
57509.258 16.300 0.010
57513.333 16.550 0.010
57513.336 16.560 0.010
57515.378 16.900 0.130
57515.381 16.760 0.040
57517.340 16.890 0.010
57517.343 16.870 0.010
57518.340 16.970 0.010
57518.342 16.960 0.010
57520.350 17.130 0.010
57520.353 17.100 0.010
57528.336 17.840 0.030
57528.339 17.810 0.030
57532.333 18.100 0.040
57532.336 18.160 0.030
57534.333 18.160 0.040
57534.336 18.270 0.050
57546.149 18.610 0.020
57546.151 18.610 0.020
57546.301 18.660 0.020
57546.303 18.650 0.020
57555.110 18.810 0.050
57555.113 18.750 0.040
57557.120 18.780 0.060
57557.123 18.870 0.060
57563.249 18.870 0.050
57563.252 18.890 0.050
57568.970 18.940 0.020
57568.973 18.990 0.020
57569.013 18.970 0.030
57569.016 18.980 0.020
57576.073 19.220 0.210
57576.075 19.060 0.100
57583.177 19.120 0.060
57583.180 19.090 0.060
57590.027 19.490 0.100
57590.030 19.300 0.060
57597.140 19.330 0.020
57597.143 19.390 0.030
57610.983 19.430 0.100
57612.966 19.540 0.100
57612.970 19.530 0.080
57619.968 20.030 0.240
57619.972 19.840 0.120
filter rlcogt
57482.911 18.920 0.060
57482.913 18.930 0.060
57483.444 18.650 0.030
57483.446 18.700 0.030
57483.564 18.710 0.030
57483.566 18.710 0.040
57483.679 18.670 0.080
57483.682 18.530 0.060
57484.243 18.370 0.040
57484.245 18.320 0.040
57485.269 17.920 0.050
57485.271 17.940 0.030
57485.395 17.680 0.170
57485.397 16.890 0.460
57485.933 17.660 0.020
57486.122 17.630 0.020
57486.124 17.610 0.020
57486.181 17.530 0.020
57486.183 17.530 0.020
57486.871 17.240 0.020
57486.874 17.280 0.020
57487.130 17.190 0.020
57487.280 17.200 0.010
57487.281 17.210 0.010
57487.880 16.940 0.020
57487.883 16.970 0.010
57487.923 16.930 0.010
57487.925 16.990 0.010
57488.863 16.790 0.020
57488.865 16.790 0.020
57489.141 16.740 0.010
57489.143 16.700 0.010
57489.854 16.620 0.060
57489.855 16.630 0.070
57489.930 16.590 0.050
57489.932 16.600 0.040
57490.213 16.520 0.010
57490.215 16.510 0.010
57490.857 16.430 0.030
57490.858 16.400 0.020
57490.914 16.440 0.010
57490.916 16.460 0.010
57491.309 16.390 0.010
57491.311 16.420 0.010
57491.503 16.300 0.010
57491.505 16.300 0.010
57492.419 16.260 0.010
57492.420 16.240 0.010
57492.960 16.150 0.010
57493.413 16.160 0.010
57493.415 16.180 0.010
57493.843 16.040 0.020
57493.844 16.130 0.010
57494.435 16.100 0.010
57494.437 16.120 0.010
57494.548 16.180 0.030
57494.550 16.050 0.160
57498.137 16.000 0.010
57498.139 16.020 0.010
57504.081 15.940 0.010
57504.083 15.990 0.010
57505.304 15.990 0.010
57505.306 16.020 0.010
57509.261 16.290 0.010
57509.263 16.190 0.010
57513.339 16.530 0.010
57513.341 16.560 0.010
57517.346 16.680 0.010
57517.348 16.660 0.010
57518.345 16.710 0.010
57518.347 16.680 0.010
57520.356 16.710 0.010
57520.358 16.730 0.010
57528.342 16.780 0.020
57528.344 16.850 0.020
57532.339 17.020 0.020
57532.341 16.980 0.020
57534.339 17.200 0.020
57534.341 17.210 0.020
57546.306 17.740 0.020
57546.308 17.740 0.020
57555.116 18.030 0.030
57555.118 18.020 0.030
57557.126 18.120 0.050
57557.128 18.120 0.040
57563.255 18.330 0.050
57563.256 18.180 0.040
57569.018 18.420 0.020
57569.020 18.370 0.030
57583.183 18.810 0.060
57583.185 18.870 0.070
57590.033 19.020 0.070
57590.035 19.070 0.100
57597.148 19.250 0.040
57597.150 19.190 0.040
57610.994 17.630 0.380
57612.974 19.560 0.100
57612.977 19.500 0.090
57619.976 19.860 0.160
57619.979 19.880 0.120
filter ilcogt
57482.916 19.120 0.130
57482.919 19.030 0.110
57483.448 18.880 0.070
57483.450 18.780 0.050
57483.569 18.780 0.050
57483.571 18.770 0.060
57483.687 18.550 0.110
57484.248 18.410 0.060
57484.250 18.410 0.070
57485.199 18.050 0.050
57485.273 18.110 0.030
57485.275 18.060 0.030
57485.276 18.100 0.050
57485.278 18.110 0.060
57486.126 17.820 0.030
57486.128 17.740 0.030
57486.186 17.670 0.030
57486.189 17.680 0.030
57486.876 17.460 0.030
57486.879 17.460 0.020
