13dkj 0.036232 347.211539 +20.069088
filter ispm
#56598.109 19.020 0.090
#56599.095 19.090 0.090
#56599.344 19.110 0.090
#56600.100 19.150 0.080
#56602.143 19.190 0.090
#56602.271 18.750 0.100
#56602.297 19.210 0.100
#56603.199 19.270 0.120
#56605.100 19.420 0.120
#56605.190 19.430 0.080
#56605.215 19.310 0.090
#56606.117 19.590 0.170
#56606.193 19.420 0.090
