13ddg 0.084 11.961798 31.821517
filter R48
#56588.266 20.090 0.190
#56589.194 20.650 0.100
#56589.247 20.820 0.160
#56589.274 20.610 0.140
#56590.176 20.730 0.130
#56590.322 20.280 0.150
#56590.346 20.570 0.120
#56591.248 20.300 0.160
#56591.274 20.100 0.220
#56591.304 20.580 0.180
#56592.260 20.850 0.140
#56592.373 20.850 0.170
#56592.398 20.820 0.190
#56596.106 21.060 0.240
#56596.253 20.820 0.180
filter B60
56541.253229999915 19.280 0.025
56541.261460000183 19.263 0.016
56546.286009999923 19.024 0.016
56548.218770000152 19.083 0.029
56550.205699999817 19.051 0.044
56552.249700000044 19.202 0.071
56554.168260000180 19.312 0.157
56558.247369999997 19.694 0.058
56560.248980000149 19.720 0.081
56562.458690000232 20.011 0.093
56564.218249999918 20.252 0.047
56565.325079999864 20.439 0.040
56568.183519999962 20.631 0.080
56568.303220000118 20.807 0.083
56572.372320000082 21.215 0.151
56572.404209999833 21.130 0.139
56573.308199999854 21.055 0.112
filter g60
56541.256419999991 19.104 0.012
56541.264659999870 19.134 0.014
56546.287649999838 18.896 0.010
56548.220420000143 18.932 0.023
56550.207359999884 18.911 0.022
56552.251350000035 19.038 0.038
56558.249019999988 19.412 0.038
56560.250649999827 19.563 0.040
56562.460359999910 19.752 0.057
56564.219909999985 19.894 0.029
56565.326719999779 19.988 0.025
56566.217110000085 20.005 0.045
56568.185169999953 20.215 0.043
56568.304860000033 20.140 0.036
56572.373970000073 20.720 0.053
56572.405850000214 20.600 0.057
56573.310550000053 20.739 0.049
56578.389620000031 21.161 0.072
56580.309280000161 21.054 0.124
filter i60
56541.258020000067 19.368 0.030
56564.312049999833 20.006 0.061
56567.301810000092 20.060 0.041
56572.369119999930 20.098 0.076
56572.401010000147 19.920 0.061
56573.305000000168 19.872 0.069
56578.384080000222 19.852 0.076
56580.306090000086 19.913 0.049
filter r60
56539.317710000090 19.436 0.019
56546.284399999771 18.882 0.012
56548.217149999924 18.864 0.021
56550.204090000130 18.887 0.018
56552.248079999816 18.954 0.035
56558.245749999769 19.184 0.029
56560.247359999921 19.264 0.042
56564.313649999909 19.522 0.031
56568.169910000172 19.674 0.032
56568.301609999966 19.671 0.039
