13dkx 0.0345 20.221425 3.339925
#PS1-13dhs
filter R48
56568.298159999773 17.504816228015 0.028
56573.160219999962 17.800346845896 0.057
56573.290390000213 17.733065593410 0.042
56578.329069999978 17.896900244727 0.052
56579.346960000228 17.968565436756 0.045
56580.273649999872 17.957961218435 0.061
56580.408950000070 17.938083719803 0.062
#filter WHIRCH
#56563.413 17.390 0.021
#56581.239 17.446 0.019
#56585.344 17.541 0.019
#56608.152 17.978 0.021
#filter WHIRCJ
#56563.423 17.161 0.020
#56581.244 18.640 0.020
#56608.164 18.722 0.026
filter ispm
56554.241 18.119 0.018
56561.231 17.446 0.006
56568.197 17.561 0.009
56573.231 17.732 0.012
56580.253 18.162 0.013
filter zspm
56554.241 18.237 0.040
56561.231 17.514 0.010
56568.197 17.471 0.012
56573.231 17.632 0.014
56580.253 17.792 0.015
filter Yspm
56554.241 17.664 0.078
56561.231 17.174 0.041
56568.197 17.613 0.062
56573.231 17.910 0.077
56580.253 17.766 0.057
filter Jspm
56561.231 17.200 0.063
56568.197 17.513 0.115
56573.231 17.844 0.147
56580.253 18.349 0.222
filter Hspm
56561.231 17.361 0.126
56568.197 17.637 0.216
56573.231 17.789 0.223
56580.253 17.845 0.198
#filter ps1_g
## Pan-STARRS1
#56573.475 17.770 0.033
#56573.494 17.201 0.021
#filter ps1_i
## Pan-STARRS1
#56559.536 17.436 0.021
#56559.548 17.434 0.024
