13dge 0.015854 75.896169 1.571493
filter Unot
2456608.49431 17.77 0.03
2456608.49591 17.77 0.03
2456611.74120 17.77 0.02
2456611.74347 17.77 0.02
2456611.75697 17.71 0.02
2456611.75922 17.76 0.03
2456613.69154 17.96 0.04
2456616.68896 17.96 0.04
2456616.69122 17.86 0.03
2456619.35826 17.97 0.02
2456619.36052 18.00 0.02
2456622.56692 18.06 0.03
2456622.56918 18.15 0.02
2456625.61041 18.08 0.02
2456625.61266 18.04 0.02
2456628.76788 18.29 0.02
2456628.77014 18.31 0.02
2456628.78334 18.73 0.07
2456628.78560 18.65 0.06
2456632.58683 18.35 0.03
2456632.58909 18.38 0.03
2456640.39988 18.65 0.21
2456640.40236 18.46 0.09
filter glcogt
2456540.60098 19.37 0.02
2456540.60588 19.35 0.03
2456540.82988 18.68 0.18
2456540.83469 19.32 0.11
2456541.57646 18.62 0.02
2456541.58126 18.65 0.02
2456541.60802 18.62 0.02
2456541.61285 18.62 0.02
2456542.15817 18.29 0.02
2456542.16297 18.30 0.02
2456542.18771 18.27 0.01
2456542.19252 18.25 0.01
2456542.57235 18.07 0.01
2456542.57600 18.13 0.04
2456543.59583 17.57 0.02
2456543.59957 17.61 0.02
2456544.93557 16.90 0.01
2456544.93922 16.85 0.01
2456545.13921 17.05 0.03
2456545.14287 17.01 0.01
2456545.24685 16.94 0.02
2456545.25051 16.90 0.01
2456545.81867 17.01 0.14
2456545.82231 16.71 0.01
2456546.24229 16.64 0.01
2456546.24596 16.64 0.01
2456546.26900 16.60 0.01
2456546.27266 16.61 0.01
2456546.82938 16.50 0.02
2456546.83302 16.48 0.01
2456546.85373 16.49 0.01
2456546.85737 16.48 0.01
2456546.87969 16.47 0.01
2456546.88333 16.50 0.01
2456547.24229 16.38 0.01
2456547.24596 16.39 0.01
2456547.27083 16.36 0.01
2456548.56956 16.10 0.01
2456548.57251 16.11 0.01
2456548.58961 16.10 0.01
2456548.59256 16.10 0.01
2456548.81825 16.08 0.01
2456548.82122 16.08 0.01
2456548.84023 16.07 0.02
2456548.84318 16.22 0.13
2456550.81523 15.86 0.01
2456550.81818 15.87 0.02
2456551.81253 15.70 0.01
2456551.81547 15.71 0.01
2456551.83318 15.72 0.01
2456551.83613 15.71 0.01
2456552.83367 15.65 0.01
2456552.83661 15.66 0.01
2456554.56668 15.55 0.01
2456554.56910 15.55 0.01
2456554.58314 15.58 0.01
2456554.58539 15.58 0.01
2456556.81054 15.58 0.01
2456556.82698 15.51 0.02
2456559.53301 15.59 0.01
2456559.53528 15.59 0.01
2456559.55955 15.56 0.01
2456559.56181 15.55 0.01
2456560.52256 15.64 0.01
2456560.53749 15.64 0.01
2456560.53975 15.64 0.01
2456560.94804 15.52 0.01
2456560.95031 15.53 0.01
2456561.95765 15.57 0.01
2456561.95991 15.57 0.01
2456563.79325 15.73 0.01
2456563.79551 15.73 0.01
2456572.49057 16.37 0.01
2456572.49282 16.40 0.01
2456574.47009 16.50 0.01
2456574.47235 16.50 0.01
2456577.21926 16.74 0.01
2456577.22153 16.77 0.01
2456579.50736 16.97 0.01
2456579.51031 16.99 0.01
2456579.58644 16.99 0.01
2456579.58939 16.97 0.01
2456579.60731 17.00 0.01
2456579.61027 16.98 0.01
2456581.53774 17.15 0.01
2456581.54069 17.17 0.01
2456581.56110 17.14 0.01
2456583.69897 17.31 0.03
2456583.71911 17.35 0.02
2456589.42994 17.79 0.03
2456589.43289 17.81 0.03
2456592.69244 17.97 0.01
2456592.69541 17.97 0.01
2456593.65880 18.04 0.02
2456593.66176 18.02 0.01
2456595.42402 18.07 0.03
2456595.43870 18.12 0.02
2456595.44425 18.08 0.02
2456595.44729 18.08 0.02
2456595.46432 18.07 0.01
2456595.46728 18.05 0.01
2456598.84068 18.19 0.02
2456598.84363 18.20 0.02
2456600.42161 18.24 0.02
2456600.42456 18.25 0.02
2456600.44222 18.19 0.02
2456600.44517 18.19 0.02
2456602.42715 18.31 0.02
2456602.43023 18.22 0.02
2456604.42435 18.31 0.02
2456604.42731 18.29 0.01
2456606.50694 18.35 0.02
2456606.50990 18.35 0.01
2456608.53575 18.38 0.03
2456608.53870 18.40 0.03
2456611.41683 18.46 0.02
2456613.83130 18.47 0.03
2456617.20858 18.44 0.16
2456619.42983 18.56 0.02
2456619.43418 18.53 0.02
2456622.55818 18.65 0.01
2456622.56253 18.65 0.02
2456625.63141 18.71 0.02
2456625.63575 18.71 0.02
2456628.78904 18.73 0.02
2456628.79338 18.74 0.01
2456640.68315 18.90 0.03
2456640.68796 18.89 0.03
2456640.87909 18.82 0.07
2456640.88389 18.71 0.06
filter rlcogt
2456540.61090 19.02 0.03
2456540.61344 19.00 0.03
2456540.83973 18.84 0.09
2456541.58639 18.31 0.03
2456541.58895 18.35 0.02
2456541.61786 18.30 0.02
2456541.62036 18.32 0.03
2456542.16794 17.91 0.02
2456542.17044 17.96 0.03
2456542.19751 17.98 0.02
2456542.57984 17.82 0.02
2456542.58175 17.85 0.02
2456543.60344 17.20 0.12
2456543.60537 17.51 0.20
2456544.94301 16.75 0.01
2456544.94493 16.76 0.01
2456545.14671 16.76 0.02
2456545.14863 16.81 0.08
2456545.25434 16.67 0.01
2456545.25627 16.65 0.03
2456545.82611 16.50 0.01
2456545.82802 16.49 0.01
2456546.24980 16.44 0.01
2456546.25171 16.42 0.01
2456546.27645 16.43 0.01
2456546.27837 16.44 0.01
2456546.83691 16.31 0.01
2456546.83882 16.31 0.02
2456546.86132 16.30 0.01
2456546.86323 16.30 0.02
2456546.88723 16.30 0.01
2456546.88914 16.29 0.01
2456547.24983 16.19 0.01
2456547.27464 16.18 0.01
2456548.57561 16.00 0.01
2456548.57718 15.97 0.01
2456548.59566 15.96 0.01
2456548.59722 16.01 0.01
2456548.82443 15.95 0.01
2456548.82601 15.94 0.01
2456548.84633 15.90 0.02
2456548.84789 15.93 0.03
2456550.82138 15.90 0.09
2456550.82294 15.75 0.02
2456551.81856 15.59 0.01
2456551.82014 15.80 0.11
2456551.83921 15.61 0.01
2456551.84078 15.59 0.01
2456552.83970 15.56 0.01
2456552.84126 15.52 0.01
2456554.57286 15.42 0.01
2456554.58781 15.43 0.01
2456554.58903 15.44 0.01
2456556.81534 15.45 0.01
2456556.83176 15.51 0.02
2456556.83296 15.53 0.02
2456559.53826 15.44 0.01
2456559.53954 15.44 0.01
2456559.56421 15.38 0.01
2456559.56543 15.39 0.01
2456560.52509 15.47 0.01
2456560.52631 15.52 0.01
2456560.54215 15.44 0.01
2456560.54337 15.44 0.01
2456560.95271 15.50 0.01
2456560.95392 15.63 0.02
2456563.79807 15.59 0.01
2456563.79928 15.58 0.01
2456572.49527 16.20 0.01
2456572.49648 16.28 0.03
2456574.47484 16.21 0.01
2456574.47605 16.17 0.01
2456577.22395 16.23 0.01
2456577.22517 16.24 0.01
2456579.59250 16.30 0.01
2456579.59406 16.31 0.01
2456579.61340 16.25 0.01
2456579.61497 16.29 0.01
2456581.54381 16.34 0.01
2456581.54537 16.35 0.01
2456581.56421 16.31 0.01
2456581.56578 16.33 0.01
2456583.70375 16.42 0.02
2456583.72390 16.42 0.02
2456585.53839 16.44 0.02
2456585.55817 16.44 0.02
2456585.55973 16.45 0.02
2456589.43598 16.70 0.02
2456589.43755 16.68 0.01
2456591.82836 16.83 0.01
2456591.82991 16.96 0.14
2456591.84726 16.82 0.02
2456592.69862 16.92 0.01
2456592.70020 16.97 0.01
2456593.66495 16.98 0.02
2456593.66653 16.99 0.01
2456595.45056 17.04 0.02
2456595.45215 17.08 0.02
2456595.47039 17.07 0.01
2456595.47196 17.07 0.02
2456598.84683 17.24 0.02
2456598.84839 17.24 0.02
2456600.42766 17.27 0.02
2456600.42922 17.27 0.02
2456600.44828 17.25 0.02
2456600.44984 17.25 0.02
2456602.43350 17.35 0.02
2456602.43507 17.34 0.02
2456604.43042 17.41 0.02
2456604.43198 17.42 0.02
2456606.51456 17.54 0.02
2456608.54182 17.54 0.03
2456608.54338 17.56 0.07
2456611.42134 17.65 0.03
2456611.42361 17.78 0.07
2456613.84115 17.80 0.03
2456613.84368 17.83 0.03
2456617.21306 17.82 0.15
2456617.21531 17.72 0.06
2456619.43867 17.80 0.02
2456619.44093 17.84 0.03
2456622.56708 18.05 0.02
2456622.56937 18.00 0.02
2456625.64034 18.12 0.02
2456625.64259 18.11 0.02
2456628.79796 18.22 0.02
2456628.80022 18.24 0.02
2456640.69304 18.60 0.04
2456640.88888 18.24 0.07
2456640.89115 18.45 0.08
filter ilcogt
2456540.61606 19.35 0.07
2456540.61856 19.45 0.09
2456540.84494 19.30 0.43
2456540.84743 18.73 0.50
2456541.59412 18.72 0.05
2456541.62300 18.67 0.03
2456541.62549 18.78 0.04
2456542.17308 18.36 0.04
2456542.17558 18.38 0.03
2456542.58380 18.26 0.05
2456542.58571 18.20 0.04
