16auf 0.01499 217.788598 +27.236051
filter G48
57606.125 17.605 0.023
57606.126 17.586 0.026
filter ilcogt
57522.231 17.682 0.052
57522.233 17.857 0.066
57526.147 16.276 0.051
57526.149 16.331 0.041
57528.370 15.870 0.023
57528.372 15.881 0.022
57530.336 15.637 0.020
57530.338 15.643 0.021
57531.401 15.643 0.021
57531.403 15.604 0.018
57562.190 15.823 0.023
57562.192 15.824 0.026
57566.120 16.014 0.019
57566.121 16.009 0.016
57573.072 16.314 0.021
57573.074 16.323 0.021
57580.266 16.628 0.024
57580.268 16.593 0.023
57590.002 17.043 0.050
57590.004 16.965 0.038
57606.128 17.430 0.044
57606.130 17.386 0.037
filter rspm
57531.22275 15.739 0.003
57535.19732 15.417 0.004
57539.25096 15.280 0.003
57542.29054 15.282 0.004
57547.28692 15.483 0.011
57576.20886 16.724 0.005
filter ispm
57531.22275 15.953 0.003
57535.19732 15.748 0.003
57539.25096 15.822 0.003
57542.29054 15.895 0.003
57547.28692 16.153 0.011
57576.20886 16.711 0.003
filter zspm
57531.22275 15.983 0.009
57535.19732 15.736 0.010
57539.25096 15.702 0.011
57542.29054 15.731 0.011
57547.28692 15.876 0.021
57576.20886 16.543 0.013
filter Yspm
57531.22275 15.684 0.012
57535.19732 15.600 0.007
57539.25096 15.849 0.013
57542.29054 16.079 0.021
57547.28692 16.290 0.017
57576.20886 15.637 0.014
filter Jspm
57531.22275 15.653 0.018
57535.19732 15.469 0.023
57539.25096 15.662 0.021
57542.29054 15.915 0.019
57547.28692 16.472 0.039
57576.20886 17.045 0.053
filter Hspm
57531.22275 15.760 0.036
57535.19732 15.770 0.032
57539.25096 15.916 0.034
57542.29054 15.937 0.035
57547.28692 16.076 0.046
57576.20886 16.120 0.029
filter ps1_g
57523.309 17.299 0.015
57527.320 16.259 0.011
57536.266 15.328 0.005
57538.438 15.281 0.005
57543.262 15.390 0.005
57555.270 16.361 0.009
57566.348 17.302 0.013
filter ps1_r
57523.309 17.312 0.013
57527.320 16.376 0.009
57535.418 15.389 0.002
57535.430 15.377 0.002
57535.438 15.381 0.003
57535.449 15.383 0.003
57536.266 15.460 0.004
57538.441 15.331 0.004
57543.262 15.322 0.004
57549.391 15.686 0.003
57549.402 15.706 0.003
57549.414 15.674 0.003
57549.426 15.697 0.003
57555.270 15.882 0.007
57566.348 16.206 0.006
filter ps1_i
57523.309 17.583 0.016
57527.320 16.580 0.010
57536.266 15.820 0.006
57538.441 15.817 0.005
57543.262 15.931 0.006
57555.270 16.299 0.009
57558.340 16.351 0.005
57558.352 16.336 0.005
57558.363 16.353 0.005
57558.375 16.322 0.005
57566.348 16.317 0.007
filter ps1_z
57523.309 17.601 0.023
57527.320 16.685 0.014
57536.266 15.772 0.007
57538.441 15.754 0.006
57543.262 15.864 0.007
57555.270 16.092 0.009
