B,V,r,i,J,H
4354.540313734886,5361.975487682269,6114.677565561549,7528.6450165043525,12455.866802604629,16137.979232787293
4360.340313734907,5359.42548768226,6134.777565561622,7539.695016504393,12442.21680260458,16146.479232787324
4356.340313734892,5361.625487682268,6114.177565561547,7532.045016504365,12448.916802604603,16138.279232787294
4360.990313734909,5359.57548768226,6143.427565561654,7543.4950165044065,12437.06680260456,16143.279232787312
4364.690313734923,5356.225487682248,6173.477565561763,7551.995016504437,12427.816802604528,16131.279232787268
4355.190313734888,5362.27548768227,6106.7775655615205,7524.345016504337,12457.316802604633,16149.629232787334
4366.090313734928,5354.825487682243,6174.877565561768,7549.795016504429,12424.916802604515,16139.029232787296
4358.840313734901,5361.225487682266,6125.427565561588,7533.49501650437,12441.816802604579,16139.7292327873
4351.090313734873,5362.37548768227,6119.027565561565,7538.445016504388,12443.766802604585,16135.979232787286
4363.89031373492,5359.325487682259,6142.32756556165,7542.3950165044025,12438.916802604566,16143.679232787314
4358.240313734899,5361.375487682267,6122.9775655615795,7536.8950165043825,12443.616802604585,16139.9792327873
4364.490313734922,5360.325487682263,6138.077565561634,7541.445016504399,12436.116802604556,16140.729232787304
4362.090313734913,5356.975487682251,6154.8775655616955,7545.345016504413,12433.516802604547,16137.979232787293
4364.190313734921,5356.325487682248,6161.327565561719,7547.445016504421,12431.56680260454,16136.529232787288
4355.340313734889,5361.125487682266,6116.427565561556,7531.245016504362,12448.566802604602,16144.229232787315
4357.790313734898,5360.975487682265,6130.227565561606,7537.4450165043845,12443.516802604583,16140.479232787302
4356.3903137348925,5359.025487682258,6132.277565561613,7540.995016504397,12441.566802604577,16140.279232787301
4362.640313734915,5356.025487682247,6173.477565561763,7551.645016504436,12432.766802604545,16127.529232787256
4355.940313734891,5361.0254876822655,6127.977565561598,7536.445016504381,12438.766802604567,16146.479232787324
4357.840313734898,5360.425487682263,6133.277565561617,7542.345016504402,12442.91680260458,16133.929232787279
4360.290313734907,5362.625487682271,6111.1775655615365,7523.095016504332,12455.516802604627,16154.529232787354
4360.840313734909,5359.325487682259,6142.47756556165,7544.745016504411,12435.616802604556,16133.229232787275
4360.440313734907,5358.575487682257,6152.877565561688,7548.095016504423,12428.316802604528,16132.729232787275
4365.440313734925,5358.075487682255,6148.8275655616735,7544.39501650441,12435.216802604555,16146.979232787326
4358.690313734901,5360.625487682264,6125.227565561588,7539.295016504391,12437.31680260456,16145.929232787323
4360.2403137349065,5360.425487682263,6132.8775655616155,7540.095016504394,12435.666802604555,16139.479232787298
4363.740313734919,5358.125487682255,6152.277565561686,7547.795016504422,12431.41680260454,16137.12923278729
4360.2403137349065,5359.725487682261,6142.27756556165,7544.5950165044105,12440.716802604573,16131.229232787267
4359.6903137349045,5360.175487682262,6128.4775655615995,7536.395016504381,12437.716802604562,16147.679232787328
4356.040313734891,5362.32548768227,6117.62756556156,7530.045016504358,12447.8668026046,16146.279232787323
4358.4403137349,5360.875487682265,6126.627565561593,7536.3450165043805,12439.016802604569,16145.079232787319
4353.590313734882,5362.775487682272,6094.177565561475,7513.945016504299,12469.066802604677,16158.229232787366
4355.69031373489,5360.525487682264,6128.7275655616,7538.695016504389,12438.916802604566,16136.92923278729
4360.940313734909,5356.975487682251,6171.827565561757,7549.595016504429,12427.216802604526,16132.02923278727
4363.690313734919,5355.425487682245,6175.27756556177,7551.595016504436,12428.21680260453,16133.079232787275
4364.490313734922,5359.675487682261,6130.227565561606,7537.745016504386,12442.91680260458,16159.479232787371
4354.690313734886,5360.925487682265,6125.627565561589,7539.545016504392,12445.566802604591,16134.27923278728
4357.040313734895,5362.475487682271,6113.077565561543,7521.745016504327,12453.36680260462,16151.779232787343
4354.840313734887,5361.925487682269,6118.327565561563,7529.445016504355,12449.816802604608,16146.279232787323
4354.090313734884,5359.52548768226,6149.077565561674,7548.695016504425,12438.116802604563,16121.929232787235
