B,V,r,i,J,H
4359.590313734904,5364.725487682279,6129.427565561603,7540.345016504395,12439.266802604569,16138.029232787292
4370.590313734944,5360.125487682262,6152.077565561685,7549.5450165044285,12430.566802604537,16148.729232787333
4362.640313734915,5363.375487682274,6128.877565561601,7540.545016504396,12442.91680260458,16147.629232787327
4365.540313734926,5361.675487682268,6152.927565561688,7546.545016504418,12436.76680260456,16137.62923278729
4358.190313734899,5362.725487682272,6133.927565561619,7542.895016504404,12442.56680260458,16138.579232787295
4373.690313734955,5355.875487682247,6189.977565561823,7556.045016504452,12425.416802604519,16136.129232787287
4366.190313734928,5362.425487682271,6142.37756556165,7543.795016504408,12438.016802604565,16144.779232787318
4360.140313734906,5367.125487682288,6100.827565561499,7509.545016504283,12473.216802604693,16156.429232787359
4369.640313734941,5360.275487682263,6154.527565561694,7548.695016504425,12434.616802604553,16136.179232787286
4367.890313734934,5359.62548768226,6152.977565561689,7547.995016504423,12434.566802604551,16148.779232787332
4360.2403137349065,5363.525487682275,6134.5275655616215,7543.745016504407,12445.216802604591,16136.629232787287
4366.74031373493,5359.275487682259,6177.777565561779,7554.995016504448,12429.666802604534,16124.429232787243
4360.740313734908,5366.075487682284,6104.0275655615105,7513.045016504296,12464.51680260466,16154.979232787355
4357.140313734895,5363.7754876822755,6132.727565561615,7541.2950165043985,12446.366802604594,16133.729232787278
4365.490313734926,5360.125487682262,6168.177565561744,7553.195016504442,12430.366802604536,16129.729232787264
4369.190313734939,5362.27548768227,6138.777565561637,7542.845016504404,12440.166802604572,16148.829232787331
4365.540313734926,5366.625487682286,6107.477565561523,7518.345016504315,12458.316802604637,16161.72923278738
4367.3903137349325,5357.975487682254,6178.12756556178,7556.045016504452,12430.466802604536,16125.479232787247
4364.590313734922,5359.3754876822595,6170.077565561751,7553.245016504442,12430.466802604536,16133.579232787277
4371.840313734949,5356.125487682248,6185.177565561806,7557.145016504456,12422.916802604508,16132.779232787274
4365.990313734927,5358.325487682256,6171.127565561755,7551.845016504437,12431.066802604539,16131.129232787269
4365.990313734927,5359.875487682261,6159.727565561713,7548.095016504423,12435.816802604557,16138.529232787296
4364.6403137349225,5363.675487682275,6134.327565561621,7542.595016504403,12438.116802604563,16142.979232787311
