SN Mbest logSFR NPD ab RA DEC Sloan
SDSS13796          10.010  -8.934  1.311221  0.704820 350.691559 +00.532883 Sloan
SDSS13655          11.091  -9.633  1.551338  0.722850 039.020218 -00.994179 Sloan
SDSS18602           9.180  -8.924  0.536031  0.573863 338.983582 +00.609241 Sloan
SDSS8719            8.469  -8.986  1.324448  0.531929 007.721481 -00.718848 Sloan
SNLS05D3cf          9.595  -9.595  0.325200  0.857975 214.222458 +52.345051 Sloan
SNLS04D4ic          9.418  -9.575  0.266600  0.821063 333.591064 -17.943487 Sloan
SNLS04D4ib         11.124          0.276600  0.845320 334.173798 -18.105095 Sloan
SNLS04D4id         10.211  -9.433  2.071600  0.959842 334.089172 -17.229031 Sloan
SNLS04D4ii         10.794  -9.153  0.069100  0.384655 333.981812 -17.657478 Sloan
SNLS04D4ih         11.496  -9.631  0.143300  0.888466 334.320953 -17.677383 Sloan
SNLS04D4im         11.308          0.257400  0.900947 333.753540 -17.396042 Sloan
sn2008Z             9.226  -9.814  0.752124  0.910495 145.813568 +36.284344 Sloan
SNLS04D4in          9.374  -9.560  0.970700  0.797093 333.785736 -17.261028 Sloan
SNLS03D3bl         11.048 -10.700  2.977900  0.477897 214.982498 +53.097401 Sloan
sn2009nq            9.571  -8.996  6.114419  0.728343 348.820862 +19.022661 Sloan
SNLS03D3ba         10.405  -9.779  1.243400  0.726794 214.139297 +52.342190 Sloan
sn2007sw            9.574  -9.000  3.904556  0.186633 183.403885 +46.493488 Sloan
SNLS06D2cc         11.266  -9.558  1.385100  0.718866 149.862030 +02.451355 Sloan
sn2007su            9.022  -9.633  1.097529  0.374919 334.787018 +13.177747 Sloan
SDSS7243            9.321  -9.652  0.643253  0.639219 328.079071 +00.471930 Sloan
sn2007cq            9.998  -9.616  1.280436  0.548044 333.668427 +05.080158 Sloan
SDSS21042           9.664  -9.576  1.132500  0.951855 315.011566 +00.827591 Sloan
sn2004ef            9.724  -9.000  0.752124  0.910495 340.541748 +19.994556 Sloan
SDSS20106          10.294  -9.963  0.608024  0.701441 346.554291 +00.328961 Sloan
SDSS16185           9.535          0.148343  0.927848 016.868069 -00.269365 Sloan
SDSS21669          11.491  -9.739  1.209910  0.645238 011.614160 -01.062266 Sloan
SNLS05D2ci         11.186  -9.416  0.920700  0.663279 150.008499 +02.215852 Sloan
SDSS21502          10.898  -9.692  0.774460  0.908648 353.599792 -00.890334 Sloan
