SN Mbest logSFR NPD ab RA DEC Sloan
SDSS15301          10.183  -9.804  0.994460  0.959468 323.579926 +00.589106 Sloan
SNLS04D4dm          9.076  -8.961  0.849500  0.872877 333.856049 -17.245157 Sloan
SDSS14397          10.453  -9.398  1.385875  0.927708 006.916098 +00.649507 Sloan
SNLS04D4dw         11.394  -9.452  0.407800  0.475655 334.186157 -17.834074 Sloan
SDSS12898           9.876  -9.595  0.252812  0.898805 026.793083 -00.146964 Sloan
SDSS17274           9.179  -9.539  0.498748  0.880662 359.341492 +00.105858 Sloan
SDSS19969          10.417  -9.673  1.727424  0.950573 031.910473 -00.324000 Sloan
SDSS19968          10.426          0.737423  0.941888 024.348734 -00.311997 Sloan
SNLS05D3ht          9.732  -8.961  3.610800  0.840079 214.477905 +53.167580 Sloan
SDSS15467          10.491  -9.721  0.423109  0.898841 320.019928 -00.177441 Sloan
SNLS05D3hs          9.249  -9.093  1.489600  0.544424 215.306503 +52.903805 Sloan
SDSS16116           9.395  -9.539  0.788587  0.658664 355.302002 -01.105807 Sloan
SNLS05D3hh         10.842  -9.534  0.374700  0.818974 214.792282 +52.959332 Sloan
SNLS04D2an          8.896  -9.137  5.032700  0.972872 150.217957 +02.041230 Sloan
sn2008bf            9.661  -8.996  6.486527  0.841888 181.012085 +20.245167 Sloan
SNLS05D3ha         11.417  -9.467  3.467600  0.787270 215.210129 +52.834030 Sloan
SDSS13411           9.001  -9.712  0.659367  0.539832 315.189941 +00.191662 Sloan
SDSS17875          10.427  -9.616  1.076123  0.567919 020.983381 +01.254994 Sloan
sn2007ux            9.126  -9.000  0.422767  0.830665 152.333252 +14.992444 Sloan
SDSS16281          10.375          0.225706  0.864167 352.942139 -00.668052 Sloan
SDSS20111          10.835 -10.779  1.700592  0.692932 354.394379 +00.248099 Sloan
SDSS12972           9.300  -9.450  0.485324  0.965432 007.958593 -00.382957 Sloan
SDSS12971          11.447          2.596469  0.766048 006.648502 -00.302072 Sloan
SDSS12977           9.737  -9.673  0.420705  0.782625 013.695609 -00.250863 Sloan
SNLS04D3nc          9.278  -9.331  0.285900  0.776539 214.075912 +52.273796 Sloan
SNLS05D2hc         11.162          4.238200  0.703989 150.019135 +01.886025 Sloan
SDSS11206          10.796          0.680739  0.894900 003.289774 +01.145541 Sloan
SDSS14437          10.093  -9.673  0.335274  0.900660 332.080963 -01.196387 Sloan
SNLS05D2ah          9.369  -9.595  0.918000  0.904864 150.369705 +01.862732 Sloan
SDSS15433          10.912  -9.779  0.771462  0.885489 014.879633 -00.256513 Sloan
SNLS05D2ab         10.459 -10.033  0.902400  0.624760 150.461853 +02.106329 Sloan
SNLS05D2ac         11.292  -9.486  1.032800  0.931817 149.746811 +02.489504 Sloan
sn2001ay            9.506  -9.000  1.797128  0.448427 216.570602 +26.248678 Sloan
SDSS744            10.405  -9.855  0.975550  0.446258 329.198486 +00.317498 Sloan
SNLS05D2ay         10.491  -8.867  3.163800  0.821079 150.284668 +02.130319 Sloan
SDSS16021           9.967  -9.521  0.716407  0.767482 013.843731 -00.388811 Sloan
sn2001ah           11.095  -9.595  3.235912  0.860144 167.624329 +55.160843 Sloan
SDSS19027           9.441  -9.398  1.004369  0.923707 328.884186 -00.371996 Sloan
SNLS05D1ke          9.213  -9.078  1.113000  0.799565 036.692883 -04.862496 Sloan
SDSS18604          11.069          2.802107  0.674185 340.920929 +00.421380 Sloan
sn2005ir           10.270  -9.576  1.547509  0.788546 019.182793 +00.793694 Sloan
SNLS04D1hd          8.422  -9.364  1.388400  0.820131 036.536808 -04.109634 Sloan
SDSS13070          10.185  -9.486  0.624064  0.802894 357.785065 -00.746341 Sloan
SDSS13072          10.206  -9.450  5.988985  0.866450 334.959473 +00.024371 Sloan
SDSS14284          10.630  -9.673  0.252629  0.748372 049.049294 -00.600944 Sloan
SDSS19616          10.924  -9.616  4.153681  0.731707 037.101109 +00.184666 Sloan
sn2008fr            8.785  -8.904  2.075421  0.912343 017.955099 +14.640614 Sloan
SNLS05D4be          9.389  -9.416  0.378500  0.854014 334.222443 -17.236103 Sloan
SDSS2031            8.440  -8.991  1.130715  0.883950 312.043182 -01.171422 Sloan
SDSS19604           9.980 -10.033  6.083110  0.516586 005.324447 +01.074527 Sloan
SNLS05D4bf         10.420  -9.264  1.950400  0.491208 334.109772 -18.232067 Sloan
SNLS05D4bi          8.828  -9.032  1.097400  0.804511 333.985626 -17.986071 Sloan
SNLS05D4bj          9.441  -9.382  0.696900  0.863874 333.748596 -18.133404 Sloan
SNLS06D4dh          9.490  -9.398  1.165500  0.848803 333.582062 -17.585011 Sloan
sn2007hx           10.767 -10.226  2.230427  0.215353 031.612833 -00.899528 Sloan
SDSS18697          10.185  -9.521  0.619649  0.513295 011.223947 -00.997054 Sloan
SDSS15132           8.781  -8.991  2.180086  0.707597 329.700226 +00.197686 Sloan
SNLS05D2dw          9.145  -9.398  1.365400  0.811629 149.633621 +02.032236 Sloan
SNLS04D3kr          9.265  -9.521  0.301800  0.782420 214.149719 +52.478870 Sloan
SNLS04D3ks          8.414  -9.137  0.915100  0.839809 215.639771 +52.185184 Sloan
sn2007hu           11.316          3.235912  0.860144 254.124527 +27.977709 Sloan
SDSS13005           9.687  -9.503  2.024037  0.449491 027.395458 -00.649882 Sloan
SDSS14846          11.011  -9.829  1.870842  0.931501 007.663236 +00.141581 Sloan
SNLS05D3lb          8.911  -9.121  0.327000  0.776770 214.382324 +53.167923 Sloan
SDSS17220          10.625  -9.486  0.553431  0.630139 009.701524 -00.179249 Sloan
SDSS16232          10.640          1.574919  0.797494 017.205410 -00.989553 Sloan
SDSS18804          10.217  -9.486  0.729116  0.901890 025.265629 -00.448449 Sloan
SDSS20039          11.267 -10.033  1.837956  0.698867 009.878607 +01.024336 Sloan
SNLS05D4hn          8.858  -9.281  0.616800  0.836551 334.306519 -17.912704 Sloan
SDSS3080           10.831  -9.595  1.678387  0.571043 016.932343 -01.039495 Sloan
SNLS05D3ax          8.562  -9.153  0.592300  0.911498 214.823257 +52.687511 Sloan
SNLS04D2fs          8.513  -9.331  0.229400  0.722553 150.092026 +01.765398 Sloan
SDSS14212          10.239  -9.486  2.538657  0.678225 330.470123 +01.045011 Sloan
sn2007cp           11.364  -9.772  0.809666  0.931997 190.553116 -17.402069 Sloan
SDSS18940          10.152  -9.652  0.591150  0.899483 010.348955 +00.411951 Sloan
SDSS20581          10.179  -9.468  2.804247  0.685302 337.703003 +00.010740 Sloan
SDSS15229           8.933  -9.521  0.337985  0.910330 004.831984 +01.090719 Sloan
SDSS3317            9.998  -9.560  0.414242  0.836524 026.962612 +00.640600 Sloan
SDSS15222          11.354 -10.817  1.849050  0.542774 002.853377 +00.702744 Sloan
SDSS12853          10.497  -9.616  2.359482  0.935809 316.765564 +00.723070 Sloan
SDSS12856          10.307  -9.539  0.582670  0.741358 332.865479 +00.755978 Sloan
sn2007F             9.014  -8.986  1.332160  0.891894 195.812744 +50.618759 Sloan
SDSS18375          10.324  -9.772  0.906956  0.958907 011.516434 -00.010381 Sloan
SDSS2916           10.004  -8.920  2.682586  0.804642 315.921722 +00.569566 Sloan
sn2001fe            8.584  -8.996  1.785061  0.561857 144.487595 +25.494678 Sloan
SNLS04D1ks          9.295  -8.976  5.464400  0.699865 036.039650 -04.978721 Sloan
SDSS14261          10.734  -9.963  0.334262  0.694562 328.240387 +00.253794 Sloan
sn2007qe            9.114  -9.814  3.419225  0.773208 358.553986 +27.409172 Sloan
SDSS20048          10.810          0.370597  0.818171 339.308075 +00.736387 Sloan
SDSS21062           9.194  -9.560  0.600535  0.925875 333.431580 +00.396301 Sloan
SDSS15704          10.836 -10.619  6.601704  0.934212 040.210735 +00.658751 Sloan
SDSS13354          10.560  -9.595  1.080455  0.630105 027.564823 -00.887272 Sloan
SDSS20040          11.084 -10.779  0.104831  0.978252 328.879486 +00.815071 Sloan
sn2006kf            9.208  -9.000  2.271216  0.372316 055.460335 +08.156944 Sloan
SDSS2246           10.961  -9.652  0.818822  0.678668 050.090420 -00.885593 Sloan
SDSS3901            9.678  -9.576  0.040851  0.926934 014.850435 +00.002595 Sloan
sn2006cp            8.948  -8.986  1.975392  0.678593 184.812042 +22.427193 Sloan
sn2006cq           11.097          1.572216  0.668584 201.104340 +30.956200 Sloan
SNLS05D2eb          9.342  -9.521  0.842800  0.523867 150.060684 +02.407433 Sloan
SNLS05D2ec         10.120  -9.153  1.751900  0.823024 149.859100 +02.013627 Sloan
sn2003ic           12.064 -10.226  0.551288  0.626248 010.459725 -09.305308 Sloan
SDSS6406           10.430  -9.616  0.200657  0.395809 046.088615 -01.062960 Sloan
sn2006cj           10.498  -9.616  2.517914  0.583167 194.852158 +28.347601 Sloan
sn2006cf           10.941  -9.751  0.488506  0.895734 163.510773 +46.026791 Sloan
SDSS6936           10.150  -9.503  0.526898  0.592615 323.233795 -00.699781 Sloan
SDSS16069          10.760  -9.595  1.805574  0.726967 341.246063 -01.006598 Sloan
sn2005mc            9.852  -9.000  0.692705  0.964545 126.776497 +21.646000 Sloan
SDSS16099          10.539  -9.804  0.723224  0.444482 026.420935 -01.054386 Sloan
sn2005ms            9.510  -9.000  5.650912  0.957744 132.309662 +36.129642 Sloan
SDSS12927          10.326  -9.673  1.361072  0.850357 041.786140 +00.775128 Sloan
SDSS12928          10.926  -9.616  2.099016  0.657094 305.009033 -00.975694 Sloan
SNLS06D3gn         10.622  -9.692  0.834000  0.983510 214.435928 +52.361183 Sloan
SDSS16093          10.311  -9.433  0.690773  0.829162 350.362457 +01.132483 Sloan
SDSS20764          10.731  -9.560  0.103965  0.722890 026.120781 +00.229765 Sloan
SDSS2561           10.634  -9.576  2.022252  0.351495 046.343418 +00.858359 Sloan
SDSS14816          10.598  -9.652  1.010728  0.775636 336.716309 +00.506056 Sloan
SDSS3592           10.626  -9.733  1.852429  0.757817 019.052437 +00.791937 Sloan
SDSS17366          11.028  -9.633  3.482835  0.780567 315.787292 -01.029184 Sloan
SNLS04D3oe         10.840          0.630300  0.897433 214.914108 +52.553848 Sloan
SDSS15461          10.398  -9.560  1.437254  0.886824 326.847473 -00.494677 Sloan
SDSS15466          10.716  -9.804  1.960495  0.905006 317.645050 -00.123220 Sloan
SDSS14318           9.990          0.087806  0.707412 340.425201 -00.136905 Sloan
SDSS1580           10.855  -9.721  3.281431  0.536282 045.323063 -00.644066 Sloan
SDSS9467           11.428  -9.698  0.661844  0.635221 328.951385 +01.180792 Sloan
SDSS5549            8.725  -8.955  1.704277  0.902317 003.250535 +00.248223 Sloan
SDSS19155          10.605  -9.733  1.893995  0.309458 031.266495 +00.174558 Sloan
SNLS04D2kr         11.165  -9.433  1.675200  0.900392 150.155594 +01.711930 Sloan
sn2010Y             9.944          1.801066  0.903017 162.766647 +65.779556 Sloan
SDSS15868          10.140  -9.576  1.606572  0.812223 038.099796 -00.713578 Sloan
SNLS05D3mq         10.903  -9.673  4.446500  0.509002 214.751785 +52.385120 Sloan
sn2008gl            9.611  -9.000  0.551288  0.626248 020.228416 +04.805306 Sloan
SNLS05D3mx         11.494  -9.619  5.922200  0.954059 215.537918 +52.219177 Sloan
SDSS15383          10.794 -10.740  0.841425  0.920751 034.149532 -00.155162 Sloan
SDSS2102            8.780  -9.576  1.801082  0.760132 312.220947 +00.191135 Sloan
SNLS05D3mn         10.612          1.151200  0.975022 214.688507 +52.323147 Sloan
SDSS20625          10.581  -9.652  0.530314  0.636666 005.683364 -00.479010 Sloan
SNLS05D3mh         11.324          1.549200  0.737825 214.749298 +52.667557 Sloan
SDSS13135          10.852          3.847733  0.489716 004.172286 -00.424540 Sloan
SDSS13136          11.334  -9.707  1.481384  0.671066 006.140682 -00.279061 Sloan
SDSS19658           8.582  -9.503  0.663180  0.879566 008.903193 -00.232700 Sloan
SDSS19794          11.281          2.920877  0.882391 359.319061 +00.249367 Sloan
SDSS17809           9.514  -9.468  1.398566  0.764553 006.364582 -00.839571 Sloan
SDSS4241            9.280  -9.364  0.919365  0.684590 012.237703 -00.905740 Sloan
SDSS17168           9.659  -9.503  0.715541  0.845199 339.723816 -01.167083 Sloan
SDSS17218          10.155  -9.468  0.162618  0.965084 356.171814 -00.030055 Sloan
SNLS03D4dy         10.077  -9.802 11.864900  0.765267 333.710510 -17.956482 Sloan
SDSS16206          10.945 -10.891  0.319773  0.880566 005.788190 -00.053633 Sloan
SDSS17215          11.099  -9.692  1.132335  0.596574 054.926380 +01.092299 Sloan
SDSS12781          10.675          2.016628  0.846020 005.406564 -01.009973 Sloan
SDSS6780           11.256          6.259473  0.823134 328.068604 +00.267062 Sloan
SNLS03D4di         10.089  -8.948  0.515900  0.547646 333.542664 -17.506620 Sloan
SNLS03D4dh          9.579  -9.153  1.415200  0.789565 334.379272 -17.629654 Sloan
SNLS05D1az          8.758  -8.934  6.741500  0.882781 036.302109 -04.602335 Sloan
SNLS06D3ed          9.838  -9.616  0.521500  0.489920 214.699173 +52.756557 Sloan
SDSS6192            9.331  -9.486  1.020977  0.846801 348.464996 +01.256988 Sloan
SDSS6196           11.175          0.801128  0.733631 337.631165 -00.502662 Sloan
SNLS06D3el          9.461  -9.298  0.960300  0.721090 214.254517 +52.232403 Sloan
SNLS06D3em          9.632  -9.521  2.618000  0.941840 214.847580 +53.023014 Sloan
SNLS06D3en          9.213  -8.698  2.634900  0.607790 215.305573 +52.456078 Sloan
SNLS04D1ow         10.893          5.692700  0.932465 036.677898 -04.306190 Sloan
SNLS06D3et         10.880          0.962000  0.948715 215.519867 +52.338364 Sloan
SDSS12860          10.552  -9.521  1.302881  0.470677 323.694183 +01.175912 Sloan
SNLS04D1oh          9.204  -9.416  1.821300  0.771287 036.259838 -04.236187 Sloan
SDSS12869          10.552  -9.998  1.861443  0.736559 327.399109 +00.001078 Sloan
SDSS15648          11.274          2.435169  0.913422 313.718384 -00.194823 Sloan
SNLS05D4ej         10.530  -9.331  0.443400  0.842392 333.968811 -18.195719 Sloan
SNLS05D4ek         10.735  -9.232  1.630600  0.897787 334.114655 -17.736313 Sloan
SDSS11300           9.596  -8.921  0.778472  0.667972 006.750494 -00.586624 Sloan
SDSS8921           10.072  -9.576  0.306755  0.818665 325.001984 -00.007925 Sloan
sn2006gr            9.490  -9.000  5.702930  0.454766 338.094482 +30.828833 Sloan
SNLS05D4ef         10.610          0.326400  0.772663 333.497101 -18.212349 Sloan
SDSS16106          11.070 -10.817  2.358793  0.930056 332.089355 -01.148781 Sloan
SDSS5751           10.598  -9.739  0.453080  0.591069 011.634153 +00.838215 Sloan
SDSS16100           9.375 -10.107  0.237038  0.925931 030.436289 -01.032410 Sloan
sn2005kc            9.457  -9.000  1.180113  0.492177 338.530579 +05.568417 Sloan
SDSS20575          11.273 -10.855  0.242996  0.881150 325.265686 +00.142561 Sloan
SNLS05D4ev         11.210          4.004300  0.715624 333.376770 -17.700785 Sloan
SNLS04D3fq          9.583  -9.093  0.938400  0.766597 214.241196 +52.379467 Sloan
SDSS19230          10.533 -10.779  0.172763  0.867725 332.891022 +00.764785 Sloan
SDSS9032            8.955  -9.416  0.668571  0.604906 337.884583 -00.493577 Sloan
SNLS05D1ck          9.763  -9.169  0.708700  0.943137 036.103542 -04.712802 Sloan
SNLS04D3fk         10.288  -9.755  0.583900  0.580299 214.609100 +52.528469 Sloan
SNLS05D1cc          9.495  -9.560  0.332700  0.879120 036.629868 -04.164801 Sloan
SNLS05D1cb         10.177  -9.121  1.559200  0.654414 036.737732 -04.117567 Sloan
SDSS5395            9.016  -9.616  0.239991  0.625443 049.640949 +00.123341 Sloan
SDSS15584          10.812  -9.998  3.175230  0.721050 043.495464 +00.986965 Sloan
SDSS15583           9.059  -9.521  0.240047  0.859969 037.731079 +00.946299 Sloan
SDSS2440           10.264  -9.503  1.361472  0.751116 042.633732 +00.807796 Sloan
SDSS10805          10.212  -9.652  0.387231  0.493614 344.927521 -00.013730 Sloan
SDSS15425          10.646 -10.891  0.245250  0.796545 055.561081 +00.478286 Sloan
SNLS05D3ne         11.259  -9.616  1.700600  0.796620 215.262436 +52.495438 Sloan
SDSS15421          10.142  -9.468  0.720653  0.940499 033.741600 +00.602507 Sloan
SNLS04D2gc          9.261  -9.217  0.292400  0.528967 150.413605 +01.883052 Sloan
SNLS04D2gb         10.416          0.510700  0.909665 150.594452 +01.894161 Sloan
SDSS5103            9.168  -9.486  1.034105  0.824310 359.884460 +00.737165 Sloan
SDSS15508           9.738  -9.560  1.500415  0.635947 027.168976 -00.576611 Sloan
SNLS03D4au          9.642  -9.486  0.492300  0.882215 334.041351 -18.077591 Sloan
sn2006S             9.327  -9.000  1.730768  0.433335 191.412643 +35.086712 Sloan
SNLS04D4an         10.628  -9.520  0.424600  0.772675 333.987915 -17.695501 Sloan
SDSS17605          10.788  -9.576  0.630729  0.930691 309.202759 +00.098444 Sloan
SDSS19341          10.965          2.063620  0.699908 015.860297 +00.331394 Sloan
sn2007bd            9.621  -9.000  0.943704  0.751565 127.888664 -01.199444 Sloan
sn2006py           10.133          0.067773  0.780306 340.425201 -00.136917 Sloan
sn2005eq            9.647  -9.000  2.706759  0.311239 047.205460 -07.033250 Sloan
SNLS04D4hf         11.099  -9.631  5.731000  0.916138 334.241272 -17.687031 Sloan
SNLS03D3aw         11.023  -9.638  0.878200  0.752707 215.223053 +52.605621 Sloan
SNLS03D3ay         10.442  -9.633  0.676000  0.778637 214.493576 +52.482613 Sloan
SDSS2533            9.527  -9.347  0.820683  0.374649 031.220692 -00.326468 Sloan
SDSS17784           9.415  -9.772  1.495689  0.824548 052.461727 +00.056828 Sloan
SDSS14279          10.485          0.784140  0.605577 018.488775 +00.371669 Sloan
SDSS14456          11.350 -10.740  0.628795  0.704668 343.551117 +01.050661 Sloan
SNLS04D4hu          9.636  -9.121  0.427700  0.832667 333.900879 -17.838900 Sloan
SDSS15453           8.551  -9.468  0.394815  0.720456 319.668304 -01.024288 Sloan
sn2004ey            8.656  -9.000  0.928645  0.845793 327.282532 +00.444222 Sloan
SDSS15456          11.049  -9.707  1.699464  0.631319 331.867249 -00.903413 Sloan
SDSS18749          11.112          2.082651  0.878177 012.547336 +00.675423 Sloan
SDSS20227          10.953 -10.033  0.979716  0.899261 349.119995 -00.098497 Sloan
SDSS16737          10.330  -9.468  0.414799  0.524060 312.832672 -00.952322 Sloan
SDSS13610          10.581  -9.657  3.090944  0.953373 326.014771 +00.726284 Sloan
sn2006bt           10.510          8.240204  0.272128 239.127213 +20.046000 Sloan
SDSS17253          10.630  -9.595  1.967874  0.370536 002.994201 +00.998150 Sloan
SNLS06D4ba          8.764  -9.063  1.928000  0.797365 333.898895 -18.229118 Sloan
SDSS17552          10.643  -9.779  1.714240  0.419150 322.320557 -01.003178 Sloan
SNLS06D4bo         10.134  -9.217  1.634400  0.638255 333.867126 -17.409184 Sloan
SDSS17258           9.486  -9.560  0.438687  0.893422 035.738617 +01.025760 Sloan
SNLS06D4bw          9.379  -9.314  0.548200  0.887920 333.765503 -17.883453 Sloan
SDSS18835          10.757 -10.927  0.492668  0.809389 053.685146 +00.355509 Sloan
SDSS15356          10.281  -9.721  0.029658  0.475172 335.053314 +00.409944 Sloan
SDSS15354          10.811          1.794894  0.749295 006.773676 -00.125976 Sloan
sn2007ci            9.638  -8.996  1.684262  0.896713 176.441040 +19.770483 Sloan
SDSS15219          10.975  -9.698  1.899750  0.685835 034.611145 +00.226688 Sloan
SDSS6315            9.607  -9.779  0.722449  0.764595 310.482819 +01.091998 Sloan
SDSS8213           10.378 -10.891  0.563524  0.490776 357.520935 -00.921379 Sloan
SDSS18241           9.566  -9.539  0.720521  0.855087 312.387726 -00.761723 Sloan
SDSS15213          10.559  -9.521  0.377095  0.874295 053.019138 -00.100142 Sloan
SDSS1371           10.963 -10.927  0.719135  0.588872 349.373810 +00.429384 Sloan
SNLS04D3ez         10.501  -9.595  0.355100  0.779674 214.782654 +53.071949 Sloan
sn2007nq           11.171          1.785061  0.561857 014.389875 -01.388611 Sloan
SNLS05D4av         10.195  -9.217  0.815100  0.597527 333.543945 -17.911943 Sloan
SDSS5717            9.052  -9.450  0.295362  0.970011 017.895966 -00.005896 Sloan
SDSS18415          11.035 -10.927  1.870186  0.625563 337.478271 +01.058609 Sloan
SDSS1112           11.205  -9.721  0.896344  0.821647 339.017639 -00.375189 Sloan
SDSS13727           9.820  -9.698  1.478430  0.915309 317.588074 +00.932620 Sloan
SDSS13689          10.533  -9.699  2.826804  0.949295 004.016125 +00.807558 Sloan
SNLS04D1dc         10.870          0.985100  0.411224 036.576935 -04.311968 Sloan
SNLS05D4af          9.124  -9.347  3.235100  0.749326 334.138092 -18.004927 Sloan
SNLS05D4ag          8.419  -9.121  0.190400  0.788175 333.447601 -18.165264 Sloan
SNLS04D1de          9.974  -9.364  1.044000  0.836759 036.649620 -04.422623 Sloan
SDSS8495           10.922  -9.804  0.497043  0.615694 335.261047 -00.748159 Sloan
SNLS05D3gv         10.754          0.312100  0.731703 215.246887 +53.178875 Sloan
SNLS05D3gp          9.047  -9.521  0.972000  0.757697 215.676315 +52.724686 Sloan
sn2007is            9.637  -9.000  1.797128  0.448427 251.810867 +40.243443 Sloan
SDSS20687          10.855  -9.503  0.642980  0.983718 016.718126 +01.154068 Sloan
sn2009al            9.487  -8.996  2.706759  0.311239 162.841873 +08.578328 Sloan
SDSS18485          10.853  -9.779  0.575813  0.802529 047.959118 -00.692416 Sloan
SDSS1008           10.560          0.694407  0.690815 028.278193 +01.113755 Sloan
SDSS10299           9.654  -9.416  0.204647  0.811715 342.264130 +00.993552 Sloan
SDSS10324           9.344  -9.468  0.093496  0.888078 336.617645 +00.586816 Sloan
SDSS10450          10.097  -9.699  1.178264  0.678188 337.275604 -01.128665 Sloan
SDSS10559          10.728 -10.033  0.526159  0.732956 354.116547 -01.226524 Sloan
SDSS10690          11.579 -10.700  0.192200  0.843528 347.499817 +01.082208 Sloan
SDSS10843          11.436 -10.660  0.067585  0.919480 053.452557 +00.099235 Sloan
SDSS11026          10.361  -9.779  0.545721  0.941108 325.806549 +00.891091 Sloan
SDSS11120          11.018 -10.185  5.312808  0.555854 325.456757 +00.370361 Sloan
SDSS11156           9.619  -9.652  0.466893  0.982010 024.093843 -00.871648 Sloan
SDSS11172          10.212  -9.503  0.235967  0.742585 322.412689 -00.202243 Sloan
SDSS11306          11.484 -10.779  1.028470  0.637641 056.738510 -00.518249 Sloan
SDSS11311          10.599  -9.539  0.608355  0.911750 047.015247 +00.433522 Sloan
SDSS11518          10.287  -9.742  0.914690  0.868101 008.409857 +00.538443 Sloan
SDSS11540          10.556          0.324408  0.885158 040.064678 +00.570278 Sloan
SDSS11771          11.448 -10.070  0.808469  0.741097 015.230598 -00.526000 Sloan
SDSS11858           9.949  -9.503  1.606541  0.979198 001.051636 +00.359504 Sloan
SDSS12199          11.487  -9.779  1.509569  0.765995 349.165985 -01.158466 Sloan
SDSS12308           9.941  -9.398  0.586721  0.957377 350.175873 +00.965277 Sloan
SDSS12804           9.552  -9.633  0.046548  0.838239 018.201660 +01.040204 Sloan
SDSS12840          11.139 -10.660  0.573731  0.859042 319.846893 -01.027589 Sloan
SDSS12850          10.549  -9.616  0.235816  0.838819 325.409668 -00.437276 Sloan
SDSS12875          10.038  -9.416  0.074574  0.903348 357.127472 -00.062183 Sloan
SDSS12879          10.078  -9.560  0.114012  0.898214 007.449180 -00.161985 Sloan
SDSS12947          11.298          0.543388  0.741962 305.332275 -00.596688 Sloan
SDSS12974          10.650  -9.433  0.350210  0.919921 021.641783 -00.228336 Sloan
SDSS13051          10.403  -9.699  3.024900  0.941657 337.137756 -00.216899 Sloan
SDSS13096          10.298  -9.732  0.935201  0.886539 358.370209 -01.202148 Sloan
SDSS13101          11.287  -9.638  0.451669  0.873347 001.602088 -01.231747 Sloan
SDSS13177          10.967  -9.998  0.171896  0.988271 021.607294 +00.564704 Sloan
SDSS13323          10.213  -9.699  0.736131  0.923383 323.051270 -00.134628 Sloan
SDSS13333          10.759 -10.740  0.778813  0.778886 318.649200 +00.278178 Sloan
SDSS13378          10.940 -10.740  2.449134  0.711432 036.542618 +01.146440 Sloan
SDSS13441          11.174 -10.740  0.821801  0.857950 346.953033 -00.232984 Sloan
SDSS13452          10.152  -9.639  0.319595  0.728601 001.920831 -00.351258 Sloan
SDSS13460           9.325  -9.673  0.784625  0.733487 345.714539 +00.141973 Sloan
SDSS13465           9.618  -9.595  0.928820  0.980341 348.882965 +00.016181 Sloan
SDSS13476           9.943  -9.416  1.113688  0.675987 356.016693 -00.790929 Sloan
SDSS13477           9.828  -9.595  1.066336  0.829515 007.805270 -00.708299 Sloan
SDSS13487          11.086  -9.963  1.763423  0.504428 035.140060 +00.202841 Sloan
SDSS13491          10.211  -9.398  1.748013  0.655620 043.286087 +00.119001 Sloan
SDSS13497          11.578 -10.619  1.708704  0.743637 025.934843 -01.045975 Sloan
SDSS13520          10.394  -9.673  0.559475  0.987054 017.175323 -00.015893 Sloan
SDSS13529           9.524  -9.595  0.274384  0.874175 021.720037 +00.336797 Sloan
SDSS1354           10.592  -9.699  0.707775  0.691216 354.802887 +00.089955 Sloan
SDSS13545          11.450  -9.829  0.074341  0.937236 052.342709 +00.596297 Sloan
SDSS13590          11.440          0.877961  0.960145 328.668488 -00.107180 Sloan
SDSS13597          11.419          0.050682  0.891429 010.215238 -00.420060 Sloan
SDSS13629          10.913          1.344391  0.887629 355.632568 -00.052847 Sloan
SDSS13633          11.840          1.015663  0.828064 004.665673 +00.005965 Sloan
SDSS13646           9.637  -9.398  0.322232  0.947264 357.472534 -01.032077 Sloan
SDSS13660          10.883          1.860450  0.898758 040.154667 -00.551883 Sloan
SDSS13677          11.483 -10.740  2.164244  0.668390 325.020905 -01.020731 Sloan
SDSS13703          11.114  -9.698  6.080500  0.682212 039.013744 +01.253452 Sloan
SDSS13734           9.825  -9.398  0.170505  0.915392 329.838074 +01.010610 Sloan
SDSS13737          11.661 -10.619  0.145763  0.933139 338.926300 +00.962680 Sloan
SDSS13807          10.819  -9.832  0.396805  0.887208 010.599832 +00.448394 Sloan
SDSS13813          10.514          0.113358  0.881972 318.320892 -00.404760 Sloan
SDSS13836          10.926  -9.331  0.037140  0.875853 006.913450 -00.363245 Sloan
SDSS1385           10.799 -10.660  1.114601  0.962395 008.827161 +00.075893 Sloan
SDSS13864          11.014  -9.633  1.295230  0.726358 348.574097 +00.191068 Sloan
SDSS13867          10.821          0.222933  0.800040 351.454926 +00.029487 Sloan
SDSS13896           8.850  -9.539  0.728206  0.963890 002.712877 -00.069825 Sloan
SDSS13897          10.575  -9.699  0.611702  0.874596 006.156487 -00.026198 Sloan
SDSS13898           9.983  -9.829  0.317303  0.706622 018.016148 -00.024707 Sloan
SDSS13901          10.408  -9.618  0.192743  0.797286 021.921043 -00.144593 Sloan
SDSS13902          10.972          0.833003  0.867644 348.972534 +00.252368 Sloan
SDSS13904          10.094  -9.633  0.130144  0.935126 006.859775 +00.283576 Sloan
SDSS13907          11.091 -10.107  0.881603  0.522621 014.179407 +00.232283 Sloan
SDSS13908          11.238 -10.779  0.268234  0.773828 015.916054 +00.295161 Sloan
SDSS13940          11.363          0.097670  0.806697 022.979618 -00.452403 Sloan
SDSS13942          10.646  -9.416  1.454451  0.850609 028.824596 -00.582031 Sloan
SDSS1395           10.946 -10.891  1.129492  0.787085 357.696472 +00.430363 Sloan
SDSS13958          11.070          0.156050  0.928557 021.787842 +00.800489 Sloan
SDSS13971          10.208 -10.033  0.666153  0.433338 023.660263 +01.236399 Sloan
SDSS14046          11.084  -9.598  0.575169  0.778036 351.191956 +00.183378 Sloan
SDSS14074           9.538  -9.503  0.529728  0.709988 342.125977 -00.825242 Sloan
SDSS14093          10.682 -10.619  0.315414  0.815051 026.539288 -01.056278 Sloan
