SN & Host Galaxy & F & Ferr & N & Nerr & u & uerr & g & gerr & r & rerr & i & ierr & z & zerr & y & yerr & J & Jerr & H & Herr & K & Kerr & Mbest & LC \\
SN~2007A & NGC 105 & -- & -- & -- & -- & 14.88 & 0.05 & 13.76 & 0.02 & 13.12 & 0.02 & 12.82 & 0.02 & 12.6 & 0.03 & -- & -- & -- & -- & -- & -- & -- & -- & 10.25 & Y \\
SN~2007N & MCG -01-33-12 & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & N \\
SN~2007S & UGC 5378 & 16.83 & 0.03 & 16.33 & 0.01 & 15.69 & 0.05 & 14.27 & 0.02 & 13.83 & 0.02 & 13.51 & 0.02 & 13.28 & 0.03 & -- & -- & 13.06 & 0.04 & 12.95 & 0.07 & 13.18 & 0.05 & 9.75 & Y \\
SN~2007af & NGC 5584 & -- & -- & 13.57 & 0.01 & 14.07 & 0.05 & 12.86 & 0.02 & 12.28 & 0.02 & 11.97 & 0.02 & 12.2 & 0.03 & -- & -- & 11.72 & 0.02 & 11.42 & 0.07 & 11.79 & 0.02 & 9.54 & Y \\
SN~2007ai & MCG -04-38-4 & -- & -- & -- & -- & -- & -- & 12.54 & 0.06 & 12.25 & 0.02 & 12.36 & 0.03 & -- & -- & -- & -- & 11.51 & 0.19 & 11.01 & 0.11 & -- & -- & 10.52 & Y \\
SN~2007as & ESO 18-G18 & -- & -- & -- & -- & 15.45 & 0.13 & 13.12 & 0.13 & 13.11 & 0.04 & 12.75 & 0.12 & -- & -- & -- & -- & 11.99 & 0.09 & 11.48 & 0.08 & -- & -- & 10.33 & Y \\
SN~2007ax & NGC 2577 & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & N \\
SN~2007ba & UGC 9798 & 19.34 & 0.04 & 18.62 & 0.02 & -- & -- & 14.58 & 0.02 & 13.72 & 0.02 & -- & -- & 13.05 & 0.02 & -- & -- & 12.6 & 0.03 & 12.32 & 0.04 & 12.49 & 0.05 & 10.8 & Y \\
SN~2007bc & UGC 6332 & -- & -- & -- & -- & 15.61 & 0.05 & 13.79 & 0.02 & 12.95 & 0.02 & 12.58 & 0.02 & 12.32 & 0.03 & -- & -- & 12.06 & 0.03 & 11.79 & 0.04 & 11.96 & 0.03 & 10.58 & Y \\
SN~2007bd & UGC 4455 & 17.47 & 0.07 & 17.12 & 0.04 & 16.32 & 0.05 & 14.51 & 0.02 & 13.7 & 0.02 & 13.32 & 0.02 & 13.01 & 0.03 & -- & -- & 12.98 & 0.06 & 12.73 & 0.08 & 12.76 & 0.07 & 10.63 & Y \\
SN~2007bm & NGC 3672 & -- & -- & 13.79 & 0.01 & 13.47 & 0.05 & 12.0 & 0.02 & 11.25 & 0.02 & 10.86 & 0.02 & 10.63 & 0.03 & -- & -- & 10.08 & 0.01 & 9.93 & 0.01 & 10.11 & 0.01 & 10.2 & Y \\
SN~2007ca & MCG -02-34-61 & -- & -- & 16.32 & 0.03 & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & 13.4 & 0.04 & 13.27 & 0.08 & 13.41 & 0.05 & 9.58 & Y \\
SN~2007co & MCG +05-43-16 & -- & -- & -- & -- & -- & -- & 14.35 & 0.02 & 13.76 & 0.02 & -- & -- & 13.29 & 0.02 & -- & -- & 13.06 & 0.04 & 12.9 & 0.04 & 13.15 & 0.07 & 10.34 & N \\
SN~2007cq & 2MASX J22144070+0504435 & 18.14 & 0.06 & 17.73 & 0.04 & 16.99 & 0.05 & 15.81 & 0.02 & 15.32 & 0.02 & 15.09 & 0.02 & 14.89 & 0.03 & -- & -- & 14.72 & 0.1 & 14.6 & 0.16 & 14.68 & 0.16 & 9.64 & Y \\
SN~2007fb & UGC 12859 & -- & -- & 17.26 & 0.04 & -- & -- & 14.28 & 0.02 & 13.53 & 0.02 & -- & -- & 12.95 & 0.02 & -- & -- & 12.7 & 0.03 & 12.52 & 0.04 & 12.79 & 0.05 & 10.18 & N \\
SN~2007hx & SDSS J020626.74-005400.4 & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & N \\
SN~2007if & J011051.37+152739 & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & N \\
SN~2007jg & SDSS J032950.83+000316.0 & 19.64 & 0.07 & 19.37 & 0.04 & 18.99 & 0.11 & 17.95 & 0.03 & 17.52 & 0.03 & 17.33 & 0.03 & 17.33 & 0.08 & -- & -- & -- & -- & -- & -- & -- & -- & 8.96 & Y \\
SN~2007jh & CGCG 391-014 & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & N \\
SN~2007le & NGC 7721 & -- & -- & 14.04 & 0.0 & -- & -- & 11.94 & 0.02 & 11.29 & 0.02 & -- & -- & 10.79 & 0.02 & -- & -- & 10.41 & 0.02 & 10.25 & 0.02 & 10.52 & 0.03 & 10.14 & Y \\
SN~2007nq & UGC 595 & 20.76 & 0.07 & 19.48 & 0.04 & 15.77 & 0.05 & 14.04 & 0.02 & 13.2 & 0.02 & 12.82 & 0.02 & 12.48 & 0.03 & -- & -- & 12.54 & 0.04 & 12.41 & 0.06 & 12.39 & 0.04 & 11.16 & Y \\
SN~2007on & NGC 1404 & -- & -- & 15.2 & 0.0 & -- & -- & 10.87 & 0.02 & 10.09 & 0.02 & -- & -- & 9.46 & 0.02 & -- & -- & 8.67 & 0.02 & 8.47 & 0.02 & 8.67 & 0.02 & 10.69 & Y \\
SN~2007qe & NSF J235412.09+272432.3 & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & N \\
SN~2007rx & BATC J234012.05+272512.23 & -- & -- & -- & -- & -- & -- & 23.61 & 0.13 & 23.11 & 0.15 & -- & -- & 22.45 & 0.19 & -- & -- & -- & -- & -- & -- & -- & -- & 6.66 & N \\
SN~2007sr & NGC 4038/4039 & -- & -- & -- & -- & -- & -- & 16.96 & 0.02 & 16.23 & 0.02 & 15.9 & 0.02 & 15.87 & 0.02 & 15.66 & 0.02 & -- & -- & -- & -- & -- & -- & 8.95 & Y \\
SN~2008A & NGC 634 & 18.27 & 0.08 & 17.29 & 0.04 & -- & -- & 14.18 & 0.02 & 13.04 & 0.02 & 12.7 & 0.02 & 12.37 & 0.02 & 12.1 & 0.02 & 11.63 & 0.01 & 11.4 & 0.02 & 11.57 & 0.01 & 10.29 & N \\
SN~2008C & UGC 3611 & -- & -- & -- & -- & -- & -- & 14.32 & 0.02 & 13.66 & 0.02 & 13.37 & 0.02 & 13.13 & 0.02 & 12.91 & 0.02 & 12.38 & 0.03 & 12.13 & 0.03 & 12.3 & 0.03 & 9.95 & Y \\
SN~2008R & NGC 1200 & 18.91 & 0.12 & 17.51 & 0.06 & -- & -- & 12.94 & 0.02 & 12.12 & 0.02 & -- & -- & 11.44 & 0.02 & -- & -- & 10.43 & 0.02 & 10.21 & 0.02 & 10.41 & 0.03 & 10.52 & Y \\
SN~2008Z & SDSS J094315.36+361709.2 & -- & -- & -- & -- & 18.9 & 0.07 & 17.6 & 0.02 & 16.97 & 0.02 & 16.63 & 0.02 & 16.36 & 0.04 & -- & -- & -- & -- & -- & -- & -- & -- & 8.82 & Y \\
SN~2008ae & IC 577 & 16.78 & 0.04 & 16.3 & 0.02 & 15.98 & 0.05 & 14.82 & 0.02 & 14.3 & 0.02 & 13.91 & 0.02 & 13.72 & 0.03 & -- & -- & 13.34 & 0.05 & 13.2 & 0.09 & 13.36 & 0.06 & 10.28 & N \\
SN~2008af & UGC 9640 & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & N \\
SN~2008bc & KK 1524 & -- & -- & -- & -- & 14.85 & 0.06 & 13.23 & 0.07 & 12.76 & 0.11 & 12.66 & 0.11 & -- & -- & -- & -- & 12.5 & 0.13 & 11.54 & 0.15 & -- & -- & 10.0 & Y \\
SN~2008bq & ESO 308-G25 & -- & -- & -- & -- & 17.33 & 0.04 & 13.89 & 0.01 & 13.54 & 0.01 & 13.06 & 0.01 & -- & -- & -- & -- & 12.03 & 0.09 & 11.29 & 0.09 & -- & -- & 10.87 & Y \\
SN~2008fp & ESO 428-G14 & -- & -- & 16.04 & 0.07 & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & 10.57 & 0.01 & 10.36 & 0.02 & 10.57 & 0.01 & 9.98 & Y \\
SN~2008fr & SDSS J011149.19+143826.5 & -- & -- & -- & -- & 20.6 & 0.15 & 19.4 & 0.03 & 19.09 & 0.03 & 18.92 & 0.04 & 19.11 & 0.12 & -- & -- & -- & -- & -- & -- & -- & -- & 7.9 & Y \\
SN~2008fv & NGC 3147 & 14.31 & 0.0 & 13.67 & 0.0 & -- & -- & 11.23 & 0.02 & 10.5 & 0.02 & -- & -- & 9.97 & 0.02 & -- & -- & 9.26 & 0.01 & 9.14 & 0.02 & 9.25 & 0.02 & 10.76 & Y \\
SN~2008fx & 2MASX J02113233+2353074 & -- & -- & -- & -- & 18.75 & 0.07 & 16.93 & 0.02 & 16.1 & 0.02 & 15.73 & 0.02 & 15.42 & 0.03 & -- & -- & 15.26 & 0.11 & 14.75 & 0.14 & 14.91 & 0.09 & 10.28 & Y \\
SN~2008gb & UGC 2427 & -- & -- & 16.99 & 0.13 & -- & -- & 15.37 & 0.02 & 14.73 & 0.02 & 14.4 & 0.02 & 14.27 & 0.02 & 14.05 & 0.02 & 14.06 & 0.06 & 13.95 & 0.09 & 14.09 & 0.08 & 10.32 & Y \\
SN~2008gl & UGC 881 & 21.15 & 0.09 & 19.63 & 0.05 & 16.28 & 0.05 & 14.4 & 0.02 & 13.57 & 0.02 & 13.17 & 0.02 & 12.88 & 0.03 & -- & -- & 12.55 & 0.04 & 12.43 & 0.06 & 12.54 & 0.05 & 10.79 & Y \\
SN~2008gp & MCG +00-9-74 & -- & -- & -- & -- & -- & -- & 14.41 & 0.02 & 13.83 & 0.02 & -- & -- & 13.39 & 0.02 & -- & -- & 12.8 & 0.04 & 12.72 & 0.06 & 12.82 & 0.06 & 10.46 & Y \\
SN~2008ha & UGC 12682 & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & N \\
SN~2008hm & 2MFGC 02845 & -- & -- & -- & -- & -- & -- & 15.52 & 0.02 & 14.91 & 0.02 & 14.6 & 0.02 & 14.46 & 0.02 & 14.35 & 0.02 & 13.52 & 0.05 & 13.34 & 0.06 & 13.39 & 0.06 & 9.43 & Y \\
SN~2008hs & NGC 910 & -- & -- & 18.41 & 0.11 & -- & -- & 13.38 & 0.02 & 12.6 & 0.02 & 12.8 & 0.02 & 12.39 & 0.02 & 12.12 & 0.02 & 11.03 & 0.02 & 10.81 & 0.03 & 11.04 & 0.02 & 10.37 & Y \\
SN~2008hv & NGC 2765 & 19.78 & 0.07 & 17.62 & 0.02 & 14.33 & 0.05 & 12.59 & 0.02 & 11.83 & 0.02 & 11.53 & 0.02 & 11.19 & 0.03 & -- & -- & 11.05 & 0.02 & 10.86 & 0.03 & 11.06 & 0.02 & 10.55 & Y \\
SN~2008hy & IC 334 & 19.43 & 0.16 & -- & -- & -- & -- & 11.98 & 0.02 & 11.27 & 0.02 & 11.85 & 0.02 & 11.11 & 0.02 & 10.8 & 0.02 & 9.48 & 0.01 & 9.24 & 0.02 & 9.5 & 0.02 & 10.24 & Y \\
SN~2008ia & ESO 125-6 & -- & -- & -- & -- & 14.43 & 0.04 & 12.35 & 0.11 & 12.06 & 0.13 & 11.72 & 0.13 & -- & -- & -- & -- & 11.13 & 0.16 & 10.68 & 0.08 & -- & -- & 10.97 & Y \\
SN~2008s1 & UGC 8472 & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & N \\
SN~2009D & MCG -03-10-52 & 16.96 & 0.04 & 16.55 & 0.02 & -- & -- & 14.76 & 0.02 & 14.08 & 0.02 & -- & -- & 13.51 & 0.02 & -- & -- & 13.12 & 0.05 & 12.89 & 0.05 & 13.06 & 0.07 & 10.16 & Y \\
SN~2009F & NGC 1725 & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & N \\
SN~2009Y & NGC 5728 & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & N \\
SN~2009ad & UGC 3236 & -- & -- & 17.35 & 0.08 & -- & -- & 15.04 & 0.02 & 14.32 & 0.02 & 13.94 & 0.02 & 13.73 & 0.02 & 13.49 & 0.02 & 13.18 & 0.04 & 12.93 & 0.05 & 13.1 & 0.05 & 10.31 & Y \\
SN~2009al & NGC 3425 & 20.18 & 0.1 & 18.29 & 0.02 & 15.85 & 0.05 & 13.99 & 0.02 & 13.17 & 0.02 & 12.78 & 0.02 & 12.54 & 0.03 & -- & -- & 12.28 & 0.02 & 12.04 & 0.04 & 12.37 & 0.03 & 10.51 & N \\
SN~2009an & NGC 4332 & -- & -- & 16.98 & 0.01 & 15.04 & 0.05 & 13.27 & 0.02 & 12.32 & 0.02 & 11.86 & 0.02 & 11.51 & 0.03 & -- & -- & 11.15 & 0.02 & 10.89 & 0.02 & 11.08 & 0.02 & 10.12 & Y \\
SN~2009bv & MCG +06-29-39 & -- & -- & -- & -- & 16.62 & 0.05 & 15.38 & 0.02 & 14.79 & 0.02 & 14.5 & 0.02 & 14.28 & 0.03 & -- & -- & 14.15 & 0.06 & 13.96 & 0.1 & 14.2 & 0.07 & 10.22 & Y \\
SN~2009dc & UGC 10064 & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & N \\
SN~2009do & NGC 4537 & -- & -- & -- & -- & -- & -- & 14.24 & 0.02 & 13.37 & 0.02 & -- & -- & 12.78 & 0.02 & -- & -- & 12.63 & 0.05 & 12.4 & 0.05 & 12.47 & 0.05 & 10.96 & Y \\
SN~2009ds & NGC 3905 & -- & -- & 15.24 & 0.01 & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & 11.83 & 0.04 & 11.62 & 0.07 & 11.72 & 0.04 & 10.55 & Y \\
SN~2009fv & NGC 6173 & 19.66 & 0.02 & 18.19 & 0.0 & -- & -- & 12.79 & 0.02 & 11.92 & 0.02 & -- & -- & 11.35 & 0.02 & -- & -- & 11.16 & 0.02 & 10.99 & 0.02 & 11.21 & 0.03 & 11.22 & N \\
SN~2009fw & ESO 597-6 & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & N \\
SN~2009ig & NGC 1015 & -- & -- & -- & -- & 14.61 & 0.05 & 12.94 & 0.02 & 12.21 & 0.02 & 11.85 & 0.02 & 11.61 & 0.03 & -- & -- & 11.23 & 0.02 & 11.05 & 0.03 & 11.19 & 0.02 & 10.13 & Y \\
SN~2009im & NGC 1355 & -- & -- & -- & -- & -- & -- & 13.41 & 0.02 & 12.69 & 0.02 & -- & -- & 12.17 & 0.02 & -- & -- & 11.81 & 0.02 & 11.64 & 0.02 & 11.84 & 0.03 & 10.23 & Y \\
SN~2009jr & IC 1320 & 15.93 & 0.04 & 15.47 & 0.02 & -- & -- & -- & -- & -- & -- & -- & -- & 12.71 & 0.02 & -- & -- & 12.52 & 0.03 & 12.31 & 0.04 & 12.51 & 0.04 & 10.02 & N \\
SN~2009kk & 2MFGC 03182 & -- & -- & -- & -- & -- & -- & 15.01 & 0.02 & 14.25 & 0.02 & -- & -- & 13.7 & 0.02 & -- & -- & 13.43 & 0.04 & 13.22 & 0.04 & 13.5 & 0.06 & 9.59 & Y \\
SN~2009kq & MCG +05-21-1 & 16.49 & 0.01 & 15.95 & 0.01 & -- & -- & 13.88 & 0.02 & 13.32 & 0.02 & -- & -- & 12.89 & 0.02 & -- & -- & 12.69 & 0.03 & 12.58 & 0.04 & 12.72 & 0.04 & 9.75 & Y \\
SN~2009le & ESO 478-6 & -- & -- & -- & -- & -- & -- & 12.84 & 0.02 & 12.21 & 0.02 & -- & -- & 11.67 & 0.02 & -- & -- & 11.46 & 0.01 & 11.27 & 0.02 & 11.43 & 0.02 & 10.64 & Y \\
SN~2009lf & 2MASX J02014081+151952 & -- & -- & -- & -- & 17.39 & 0.05 & 15.67 & 0.02 & 14.89 & 0.02 & 14.54 & 0.02 & 14.27 & 0.03 & -- & -- & 14.34 & 0.07 & 14.04 & 0.12 & 14.21 & 0.07 & 10.14 & Y \\
SN~2009na & UGC 5884 & 16.13 & 0.03 & 15.68 & 0.01 & 15.19 & 0.05 & 14.08 & 0.02 & 13.6 & 0.02 & 13.39 & 0.02 & 13.24 & 0.03 & -- & -- & 13.12 & 0.05 & 12.96 & 0.07 & 12.92 & 0.07 & 10.09 & Y \\
SN~2010Y & NGC 3392 & 20.02 & 0.06 & 18.67 & 0.02 & 15.95 & 0.05 & 14.15 & 0.02 & 13.35 & 0.02 & 12.96 & 0.02 & 12.68 & 0.03 & -- & -- & 12.47 & 0.02 & 12.33 & 0.04 & 12.59 & 0.03 & 9.84 & Y \\
SN~2010ae & ESO 162- G 017 & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & N \\
SN~2010ag & UGC 10679 & 18.77 & 0.1 & 18.05 & 0.06 & 16.95 & 0.05 & 15.34 & 0.02 & 14.55 & 0.02 & 14.15 & 0.02 & 13.86 & 0.03 & -- & -- & 13.35 & 0.03 & 13.19 & 0.05 & 13.37 & 0.04 & 10.38 & N \\
SN~2010ai & SDSS J125925.04+275948.2 & -- & -- & 21.76 & 0.17 & 19.63 & 0.11 & 17.58 & 0.02 & 16.86 & 0.02 & 16.51 & 0.02 & 16.29 & 0.03 & -- & -- & -- & -- & -- & -- & -- & -- & 8.91 & Y \\
SN~2010cr & NGC 5177 & -- & -- & 19.59 & 0.2 & -- & -- & 14.67 & 0.02 & 13.92 & 0.02 & -- & -- & 13.34 & 0.02 & -- & -- & 13.48 & 0.06 & 13.03 & 0.06 & 13.19 & 0.08 & 10.16 & Y \\
SN~2010dl & IC 1391 & 21.93 & 0.2 & 19.93 & 0.05 & 17.13 & 0.05 & 15.36 & 0.02 & 14.58 & 0.02 & 14.22 & 0.02 & 13.98 & 0.03 & -- & -- & 13.95 & 0.04 & 13.8 & 0.09 & 14.17 & 0.07 & 10.21 & N \\
SN~2010dm & SDSS J121133.31+471628.6 & -- & -- & -- & -- & 20.78 & 0.13 & 19.62 & 0.03 & 19.19 & 0.03 & 19.05 & 0.03 & 18.91 & 0.08 & -- & -- & -- & -- & -- & -- & -- & -- & 8.01 & Y \\
SN~2010dw & 2MASX J15224062-0555214 & -- & -- & -- & -- & -- & -- & 16.26 & 0.02 & 15.63 & 0.02 & 15.27 & 0.02 & 15.09 & 0.02 & 14.93 & 0.02 & 14.52 & 0.06 & 14.36 & 0.13 & 14.57 & 0.07 & 9.99 & Y \\
SN~2010ew & CGCG 173-018 & 17.67 & 0.14 & -- & -- & -- & -- & 15.32 & 0.02 & 14.8 & 0.02 & 14.66 & 0.02 & 14.5 & 0.02 & 14.45 & 0.02 & 14.35 & 0.07 & 14.17 & 0.12 & 14.47 & 0.07 & 9.71 & N \\
SN~2010ex & CGCG 475-019 & 17.59 & 0.06 & 17.02 & 0.03 & 16.36 & 0.05 & 15.33 & 0.02 & 14.88 & 0.02 & 14.7 & 0.02 & 14.53 & 0.03 & -- & -- & 14.42 & 0.06 & 14.35 & 0.11 & 14.61 & 0.09 & 9.59 & N \\
SN~2010gn & SDSS J171750.05+405252.5 & -- & -- & 20.06 & 0.11 & 19.15 & 0.12 & 18.1 & 0.03 & 17.62 & 0.03 & 17.38 & 0.03 & 17.38 & 0.08 & -- & -- & -- & -- & -- & -- & -- & -- & 8.83 & Y \\
SN~2010gy & A022712-0432 & -- & -- & 23.21 & 0.2 & -- & -- & 23.66 & 0.07 & 22.93 & 0.06 & -- & -- & 22.57 & 0.12 & -- & -- & -- & -- & -- & -- & -- & -- & 7.54 & Y \\
SN~2010ho & PGC 1361264 & 18.4 & 0.07 & 18.08 & 0.04 & 17.24 & 0.06 & 16.06 & 0.02 & 15.53 & 0.02 & 15.25 & 0.02 & 15.05 & 0.03 & -- & -- & 15.35 & 0.15 & -- & -- & -- & -- & 9.96 & Y \\
SN~2010hs & 2MASX J02253767+2445579 & -- & -- & -- & -- & 18.06 & 0.06 & 16.55 & 0.02 & 15.81 & 0.02 & 15.46 & 0.02 & 15.21 & 0.03 & -- & -- & 15.01 & 0.07 & 14.64 & 0.16 & 15.25 & 0.07 & 10.54 & Y \\
SN~2010iw & UGC 4570 & 17.72 & 0.05 & -- & -- & 17.56 & 0.07 & 15.81 & 0.02 & 15.25 & 0.02 & 15.09 & 0.02 & 14.95 & 0.04 & -- & -- & 16.02 & 0.12 & 16.12 & 0.29 & 16.35 & 0.2 & 8.88 & Y \\
SN~2010ju & UGC 3341 & -- & -- & -- & -- & -- & -- & 13.9 & 0.02 & 12.99 & 0.02 & 13.96 & 0.02 & 12.57 & 0.02 & 13.44 & 0.02 & 11.79 & 0.05 & 11.58 & 0.06 & 11.72 & 0.04 & 9.61 & Y \\
SN~2010jv & NGC 2379 & -- & -- & -- & -- & -- & -- & 13.93 & 0.02 & 13.16 & 0.02 & -- & -- & 12.64 & 0.02 & -- & -- & 12.41 & 0.02 & 12.19 & 0.03 & 12.42 & 0.04 & 10.03 & N \\
SN~2010kg & NGC 1633 & 16.33 & 0.08 & 15.71 & 0.04 & -- & -- & 14.1 & 0.02 & 13.31 & 0.02 & 12.86 & 0.02 & 12.66 & 0.02 & 12.54 & 0.02 & 12.07 & 0.02 & 11.9 & 0.04 & 12.14 & 0.03 & 10.23 & Y \\
SN~2011B & NGC 2655 & 17.42 & 0.07 & 15.28 & 0.02 & -- & -- & 10.5 & 0.02 & 9.73 & 0.02 & -- & -- & 9.23 & 0.02 & -- & -- & 8.77 & 0.02 & 8.56 & 0.02 & 8.79 & 0.03 & 10.51 & Y \\
SN~2011K & CSS J044530.38-072054.7 & -- & -- & 19.56 & 0.1 & -- & -- & 18.04 & 0.02 & 17.68 & 0.02 & -- & -- & 17.44 & 0.02 & -- & -- & -- & -- & -- & -- & -- & -- & 7.83 & Y \\
SN~2011aa & UGC 3906 & -- & -- & 16.32 & 0.01 & -- & -- & 15.83 & 0.02 & 15.45 & 0.02 & 15.37 & 0.02 & 15.51 & 0.02 & 15.6 & 0.02 & -- & -- & -- & -- & -- & -- & 8.62 & N \\
SN~2011ae & MCG -03-30-19 & 15.42 & 0.03 & 15.14 & 0.02 & -- & -- & 15.23 & 0.02 & 14.63 & 0.02 & 13.71 & 0.02 & 13.51 & 0.02 & 13.39 & 0.02 & 13.29 & 0.06 & 13.05 & 0.13 & 13.83 & 0.04 & 8.78 & Y \\
SN~2011ao & IC 2973 & 15.94 & 0.03 & 15.58 & 0.02 & 15.09 & 0.05 & 14.13 & 0.02 & 13.71 & 0.02 & 13.54 & 0.02 & 13.39 & 0.03 & -- & -- & 13.54 & 0.05 & 13.31 & 0.08 & 13.58 & 0.07 & 9.28 & Y \\
SN~2011at & MCG -02-24-27 & 16.46 & 0.03 & 15.92 & 0.02 & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & 12.49 & 0.05 & 12.15 & 0.1 & 12.46 & 0.04 & 9.21 & Y \\
SN~2011by & NGC 3972 & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & N \\
SN~2011de & UGC 10018 & -- & -- & 16.6 & 0.01 & -- & -- & 14.32 & 0.02 & 13.52 & 0.02 & -- & -- & 12.98 & 0.02 & -- & -- & 12.86 & 0.05 & 12.67 & 0.05 & 12.78 & 0.06 & 10.58 & N \\
SN~2011df & NGC 6801 & -- & -- & 15.21 & 0.02 & -- & -- & 13.28 & 0.02 & 12.65 & 0.02 & -- & -- & 12.23 & 0.02 & -- & -- & 12.02 & 0.04 & 11.83 & 0.04 & 12.21 & 0.05 & 10.19 & Y \\
SN~2011fe & M101 & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & N \\
SN~2011fs & UGC 11975 & 16.65 & 0.06 & 15.8 & 0.02 & -- & -- & 14.67 & 0.02 & 14.58 & 0.02 & 14.04 & 0.02 & 13.0 & 0.02 & 12.51 & 0.02 & 11.9 & 0.02 & 11.76 & 0.04 & 11.88 & 0.03 & 10.09 & Y \\
SN~2011gf & SDSS J211222.69-074913.9 & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & N \\
SN~2011io & 2MASX J23024668+0848186 & -- & -- & 20.89 & 0.27 & 18.18 & 0.06 & 16.22 & 0.02 & 15.34 & 0.02 & 14.93 & 0.02 & 14.61 & 0.03 & -- & -- & 14.17 & 0.04 & 13.95 & 0.06 & 14.23 & 0.05 & 10.23 & N \\
SN~2011iy & NGC 4984 & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & N \\
SN~2011jh & NGC 4682 & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & N \\
SN~2012bh & UGC 7228 & -- & -- & 17.13 & 0.0 & -- & -- & 14.69 & 0.02 & 13.99 & 0.02 & -- & -- & 13.42 & 0.02 & -- & -- & 13.06 & 0.04 & 12.78 & 0.04 & 12.96 & 0.05 & 10.28 & N \\
SN~2012bo & NGC 4726 & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & N \\
SN~2012bp & SDSS J161812.44+362902.6 & -- & -- & 18.88 & 0.02 & 18.12 & 0.06 & 16.98 & 0.02 & 16.57 & 0.02 & 16.4 & 0.02 & 16.3 & 0.05 & -- & -- & -- & -- & -- & -- & -- & -- & 9.02 & N \\
SN~2012em & CGCG 453-001 & -- & -- & 19.83 & 0.14 & 16.43 & 0.05 & 14.58 & 0.02 & 13.75 & 0.02 & 13.37 & 0.02 & 13.08 & 0.03 & -- & -- & 12.83 & 0.03 & 12.73 & 0.05 & 12.91 & 0.04 & 10.8 & N \\
SN~2012fk & 2MASX J023052.08+222832.6 & -- & -- & -- & -- & -- & -- & 16.54 & 0.02 & 15.78 & 0.02 & -- & -- & 15.26 & 0.02 & -- & -- & 15.02 & 0.05 & 14.75 & 0.06 & 14.67 & 0.1 & 9.85 & Y \\
SN~2013ar & 2MASX J083745.57+492840.0 & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & N \\
SN~2013bs & NGC 6343 & -- & -- & -- & -- & 15.78 & 0.05 & 13.95 & 0.02 & 13.14 & 0.02 & 12.76 & 0.02 & 12.52 & 0.03 & -- & -- & 12.11 & 0.03 & 11.91 & 0.04 & 12.07 & 0.04 & 10.77 & Y \\
