SN & Host Galaxy & F & Ferr & N & Nerr & u & uerr & g & gerr & r & rerr & i & ierr & z & zerr & y & yerr & J & Jerr & H & Herr & K & Kerr & Mbest & LC \\
SN~1998bu &  NGC 3368 & -- & -- & 14.78 & 0.0 & -- & -- & 10.1 & 0.02 & 9.28 & 0.02 & -- & -- & 8.63 & 0.02 & -- & -- & 8.13 & 0.02 & 7.95 & 0.02 & 8.16 & 0.02 & 10.33 & Y \\
SN~1999ac & NGC~6063 & 16.03 & 0.01 & 15.6 & 0.01 & -- & -- & 13.38 & 0.02 & 12.77 & 0.02 & -- & -- & 12.29 & 0.02 & -- & -- & 12.26 & 0.04 & 12.09 & 0.05 & 12.39 & 0.08 & 9.81 & N \\
SN~1999cl & NGC~4501 & -- & -- & -- & -- & -- & -- & 10.46 & 0.02 & -- & -- & 10.73 & 0.02 & -- & -- & 9.79 & 0.02 & 8.09 & 0.02 & 7.93 & 0.02 & 8.11 & 0.02 & 10.55 & Y \\
SN~1999cp &  NGC 5468 & -- & -- & -- & -- & -- & -- & 12.24 & 0.02 & 11.79 & 0.02 & -- & -- & 11.42 & 0.02 & -- & -- & 11.82 & 0.02 & 11.71 & 0.03 & 12.24 & 0.06 & 9.62 & N \\
SN~1999ee & IC 5179 & 15.18 & 0.02 & 14.53 & 0.01 & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & 10.55 & 0.01 & 10.33 & 0.02 & 10.47 & 0.01 & 10.5 & Y \\
SN~1999ek & UGC  3329 & -- & -- & -- & -- & -- & -- & 13.46 & 0.02 & 12.66 & 0.02 & 12.35 & 0.02 & 12.15 & 0.02 & 11.89 & 0.02 & 12.53 & 0.07 & 12.43 & 0.07 & 12.09 & 0.08 & 10.44 & Y \\
SN~1999gp & UGC 1993 & -- & -- & -- & -- & -- & -- & 15.69 & 0.02 & 15.2 & 0.02 & 14.76 & 0.02 & -- & -- & -- & -- & 12.45 & 0.02 & 12.19 & 0.05 & 12.53 & 0.03 & 9.98 & Y \\
SN~2000E &  NGC 6951 & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & N \\
SN~2000bh & ESO 573-14 & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & N \\
SN~2000bk &  NGC 4520 & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & N \\
