SN2010Y 0.010860 162.766580 65.779660
#SN2010Y 162.76658 65.77966 NGC_3392    E? 0.01086 0.000103 NED_Host_Galaxy_Name CBET_2168 Cortini CBET_2168   Ia
# ['' 'B' 'H' 'J' 'Ks' 'U' 'UVM2' 'UVW1' 'UVW2' 'V' "i'" "r'" "u'"]
# ['' 'UVOT'] on ['' 'PAIRITEL' 'Swift']
filter B4sh
55287.16 17.359 0.043
55289.27 17.429 0.036
55291.27 17.611 0.042
55295.15 17.752 0.054
55297.16 17.885 0.055
55299.15 17.955 0.108
filter rk
#
55239.29 16.129 0.022
55241.14 15.661 0.023
55242.42 15.445 0.014
55243.51 15.292 0.014
55244.37 15.214 0.015
55245.45 15.154 0.014
55247.32 15.078 0.015
55251.38 15.097 0.014
55257.49 15.479 0.033
55258.21 15.527 0.016
55261.33 15.633 0.016
55266.31 16.004 0.029
55267.25 15.974 0.038
55268.25 16.062 0.016
55270.25 16.254 0.021
55271.35 16.348 0.022
55276.26 16.787 0.046
55287.16 17.227 0.035
55289.27 17.345 0.048
55291.28 17.419 0.037
55295.15 17.595 0.044
55297.17 17.654 0.057
55299.16 17.861 0.043
55536.48 20.625 0.322
filter uk
#
55241.15 16.025 0.034
